,Handle,Text,sentiment
24,@media_maju,"Membalas 
@__yourjulyPadahal RUU cipta kerja sangat bermanfaat untuk pekerja dan pelaku UMKM kenapa harus ditolak jangan mau diprovokasi dengan berita-berita hoax.",1
28,@Jumadi97709906,"Gerindra hanya di belakang layar,karena ketua umum nya jadi menteri pertahanan.
Prabowo subianto kemarin jadi oposisi pemerintah sangat keres kritik TKA masuk indonesia,sekarang jadi koalisi pemerintah prabowo bilang ada Orang Asing dalam Demo tolak RUU OMNIBUS LAW CIPTA KERJA.Tweet Kutipan
Dahnil A Simanjuntak
@Dahnilanzar
 · 20 Okt
https://politik.rmol.id/read/2020/10/19/457307/pengamat-ke-mana-demokrat-pks-kami-pasca-demo-kok-yang-muncul-gerindra… Analisa",1
30,@akjailanireal,"Illiza Mengaku Tidak Dilibatkan dalam Pengesahan RUU Cipta KerjaIlliza Mengaku Tidak Dilibatkan dalam Pengesahan RUU Cipta Kerja
BANDA ACEH – Hj Illiza Sa’aduddin Djamal sepertinya enggan berbicara seputar pengesahan Omnibus Law UU Cipta Kerja. Meskipun Mantan Wali.....
acehimage.com",1
32,@walhinasional,"WALHI Menyatakan pengesahan RUU Cipta Kerja merupakan tindakan inkonstitusional dan tidak demokratis yang harus dilawan dengan sehebat-hebatnya
#MosiTidakPercaya 
#WhatsHappeningInIndonesia 
#JRBukanJalanKeluar
#CabutOmnibusLaw 
#BatalkanOmnibuLAWWALHI: Pengkhianatan terhadap Rakyat pada Pengesahan RUU Cipta Kerja
Pelantar.id – DPR RI menggelar rapat paripurna pengesahan RUU Cipta Kerja pada Senin, 5 Oktober 2020. Pengesahan dilakukan secara senyap dan tergesa-gesa menjadi puncak pengkhianatan istana dan...
pelantar.id",1
33,@TIARA2796,"REDISTRIBUSI TANAH, REVOLUSI DARI JOKOWI! 

Ada sesuatu yang menarik dari konsep RUU Cipta Kerja. Sebuah langkah revolusioner dalam hak pertanahan yang sudah lama menjadi topik diskursus.
#6tahunjokowi 
#IndonesiaBangkit",1
34,@Paltiwest,"#6TahunJokowi yuk disimak isu-isu penting dalam UU Cipta Kerja.. Dari grafis tim 
@PerekonomianRI
 terlihat jelas loh keterlibatan publik dalam penyusunan RUU Cipta Kerja
@kangdede78
 @tonykojansow",1
35,@hwamyluv,"menurut kelompok kami sih Tidak etis, UU Cipta Kerja disahkan dimasa pandemi dimana kondisi dan waktu yang tidak memungkinkan untuk menciptakan dan mengesahkan RUU, karena menyebabkan banyak Pro dan Kontra terhadap UU Cipta Kerja
#Etika4D #AkuntansiPolinema 
@AriKamayanti",1
36,@Papuakuindo,Hasil survei nasional Saiful Mujani Research Center (SMRC) menyebutkan 52% atau mayoritas masyarakat memberikan dukungan publik terhadap RUU Cipta Kerja. Dukungan ini didasari oleh kondisi ekonomi Indonesia yang semakin memburuk selama masa pandemi.,1
37,@UmmuVhy,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Mem... https://youtu.be/DZmnBOZptuA via 
@YouTubeKetua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",1
38,@Papuakuindo,"Gading: RUU Cipta Kerja membuka peluang investasi besar dan bakal menciptakan pekerjaan yang seluas-luasnya bagi masyarakat

Gading Marten
Artis dan Presenter",1
41,@SINDOnews,"RUU Cipta Kerja Sah Jadi UU, Ini Deretan Dampak Buruknya bagi RakyatRUU Cipta Kerja Sah Jadi UU, Ini Deretan Dampak Buruknya bagi Rakyat
Pakar Hukum asal Universitas Trisakti, Abdul Fickar Hadjar mengatakan pernyataannya Ketua DPR, Puan Maharani yang menyebut...
nasional.sindonews.com",1
42,@mahasiswakpu2,Ada yang punya draft ruu cipta kerja yang 812 halaman kah? Please butuh bgt buat skripsi,1
44,@MAJALAH_GATRA,"Bahkan pihaknya sudah meminta Dewan Perwakilan Rakyat (
@DPR_RI
) untuk menghentikan pembahasan Omnibus Law RUU Cipta Kerja karena sangat merugikan buruh. #UUCiptaKerja #OmnibusLaw",1
45,@MAJALAH_GATRA,"Ketua Forum Peduli Buruh (FPB) Sukoharjo, Sukarno, mengatakan bahwa sejak awal, kalangan buruh dan serikat pekerja menolak RUU Cipta Kerja. #UUCiptaKerja #OmnibusLaw",1
46,@Yahoo_ID,"131 Orang Jadi Tersangka Demo Ricuh RUU Cipta Kerja di Jakarta https://bit.ly/37t53mO

Cari berita lain? Klik di sini http://bit.ly/2MXCxRZ",1
47,@jalanin_yuk,"Hari ini mahasiswa berkumpul dan meneruskan aksi tolak RUU Cipta Kerja.

adik2..terimakasih ya.
Saya titip aspirasi saya,semoga ada hasilnya dan please tetep pake masker.

oiya satu lagi,pastikan kalian sudah baca draft RUU nya,jangan demo doang tanpa baca",1
48,@arifinpribadi,"ITU UU Cipta Kerja udah Di Istana selama 3 Presiden , Dan orang banyak bilang terburu 2 DLL , nggak mikir 18 tahun cm JD RUU krn takut nggak populis . 
@jokowi
 bisa diukur  kekerasan tekad Beliau membuat rakyat sejahtera  Saya salut lho. 
@Cyber_PDIP
 @PDI_Perjuangan",1
50,@ummu_at,"Sudah jatuh, tertimpa tangga pula. Begitulah nasib perempuan saat ini. RUU Cipta Kerja yang dikebut pada 5/10/2020 ini dinilai merugikan kalangan buruh termasuk perempuan. 

Selengkapnya, simak di video ya...
https://youtu.be/XSGL7XXhx6A

#OmnibusLawSengsarakanPerempuanTak Ada Hati! Perbudakan Legal Oleh Negara, Perempuan Lagi-lagi Jadi...
Sudah jatuh, tertimpa tangga pula. Begitulah nasib perempuan saat ini. RUU Cipta Kerja yang dikebut pada 5/10/2020 ini dinilai merugikan kalangan buruh terma...
youtube.com",1
52,@jelita4you,"Ketua DPR : Draft RUU Cipta kerja hanya di Cek Acak , Bank Dunia memujinya..?Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",1
53,@DinataQ,"Adakah pendapat lain? 
Comment di bawah
-
RUU CIPTA KERJA : http://dpr.go.id/.../BALEG-RJ-20200605-100224-2372.pdf…",1
54,@Dewisulastini1,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMC

https://youtu.be/DZmnBOZptuA

Jangan lupa share seluas-luasnya Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",1
55,@PalembangLpka,"10. Presiden 
@jokowi
 menugaskan menteri 
@PerekonomianRI
 @Kemenkumham_RI
 @KemenkeuRI
 @KemnakerRI
 @kemendagri
 @KementerianLHK
 @atr_bpn
 @KementerianESDM
 @KemenkopUKM
 @KemenPU
 @kementan
 mewakili presiden dalam pembahasan RUU Cipta Kerja di DPR

#KumhamPasti
#OmnibusLawTaatProsedural",1
56,@PalembangLpka,"9. Surat tersebut ditindaklanjuti Menko 
@PerekonomianRI
 bersama menteri terkait dengan menyampaikan surat presiden, naskah RUU Cipta Kerja, serta naskah akademik yg menyertainya kepada Ketua dan Wakil Ketua 
@DPR_RI
 tanggal 12 Februari 2020

#KumhamPasti
#OmnibusLawTaatProsedural",1
57,@PalembangLpka,"8. Presiden 
@jokowi
 melalui surat nomor: R-06/Pres/02/2020 tanggal 7 Februari 2020 menyampaikan secara resmi RUU Cipta Kerja kepada Ketua 
@DPR_RI
 untuk dibahas dalam sidang DPR guna mendapatkan persetujuan dengan prioritas utama

#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22",1
58,@PalembangLpka,"7. Pada 27 Januari 2020, Menteri 
@PerekonomianRI
 menyampaikan draft RUU Cipta Lapangan Kerja dan naskah akademik yang menyertainya kepada presiden 
@jokowi
 melalui surat nomor: PH.2.1-15/M.EKON/01/2020

#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22",1
60,@PalembangLpka,"5. Sejak masih berbentuk rancangan kebijakan, RUU Cipta Kerja sudah disampaikan dan disuarakan ke media baik cetak dan elektronik

#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22",1
61,@PalembangLpka,"4. Kemenkumham melakukan pengharmonisasian substansi dan legal drafting RUU Cipta Kerja dengan dikeluarkannya surat selesai harmonisasi dari Menkumham nomor: PHN-HN.0204-04 tgl 20 Januari 2020 dan nomor: PPE.PP.03.02-107 tgl 20 Januari 2020

#KumhamPasti
#OmnibusLawTaatProsedural",1
62,@PalembangLpka,"2. Secara resmi, Menteri 
@PerekonomianRI
 telah menetapkan Panitia Antar Kementerian dan/atau Antar NonKementerian dalam Penyusunan RUU tentang Cipta Lapangan Kerja pada tanggal 23 Oktober 2019 yang dipimpin oleh Sekretaris Menko

#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22",1
66,@PalembangLpka,"#SahabatPengayoman, sekarang lagi rame nih ya bahas Penyusunan RUU Cipta Kerja. Kalian tau ngga, kalo penyusunan RUU ini telah melalui proses yang panjang lho. Coba disimak thread Yomin ini ya

#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22",1
67,@Ndptr21,"Tolak RUU Omnibus Law Cipta Lapangan Kerja. #MosiTidakPercaya - Tandatangani Petisi! http://chng.it/pcHj2wsC lewat 
@ChangeOrg_IDTandatangani Petisi
Tolak RUU Omnibus Law Cipta Lapangan Kerja
change.org",1
69,@Tisha18506853,"Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!!Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",1
71,@PolsekTeluk,"Video himbauan Bpk. MUHAMMAD DOHAR NASUTION Tokoh Masyarakat Desa Makmur Kec. Teluk Mengkudu kepada semua elemen masyarakat dalam rangka tangkal hoax RUU Cipta Kerja.
#IndonesiaDamai
#IndonesiaMaju",1
72,@Masyita08912111,"Keywords: RUU Cipta Kerja

Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka,  ternyata pimpinan DPR mengaku bahwa dia selama ini  mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!! Tonton fakta  dalam video serba-serbi pagi ini di channel YouTube MMC",1
74,@meinab_,"Ditengah sulitnya masa Covid-19 ini memang berbahaya sekali karena menimbulkan kematian, tapi yang lebih mematikan adalah jika RUU Cipta Kerja disahkan ditengah para fresh graduate khususnya generasi mendatang dan para buruh. 

#Etika4D #AkuntansiPolinema 
@AriKamayanti",1
75,@Kemenkumham_Gto,"12. Menteri 
@PerekonomianRI
 menetapkan Tim Koordinasi Pembahasan dan Konsultasi Publik Substansi Ketenagakerjaan RUU tentang Cipta Kerja pada 7 Februari 2020 yang dipimpin oleh Sekretaris 
@PerekonomianRI
 dan wakil oleh Sekjen 
@KemnakerRI
#KumhamPasti
#OmnibusLawTaatProsedural",1
76,@Kemenkumham_Gto,"11. Badan Legislasi (Baleg) 
@DPR_RI
 dan Pemerintah melakukan rapat perdana untuk membahas RUU Cipta Kerja pada tanggal 14 April 2020. Dalam rapat tersebut, Panitia Kerja (Panja) RUU Cipta Kerja resmi dibentuk

#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22",1
84,@meinab_,"Omnimbus Law itu etis atau tidak ya? 
 

Menurut Pendapat kelompok kami mengenai disahkannya RUU Cipta Kerja sangatlah tidak etis, yang paling meresahkan adalah tentang ""Aturan masuknya tenaga kerja asing yang dilonggarkan"".

#Etika4D #AkuntansiPolinema 
@AriKamayanti",1
86,@zhazziyah,"Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!! Tonton faktanya di channel YouTube MMC
#OmnibusLawSengsarakanPerempuan",1
91,@MelaDewiSuryan1,"Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!! Tonton fakta selengkapnya dalam video serba-serbi pagi ini di channel YouTube MMC",1
93,@SweetMacarons2,"Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!! Tonton di channel YouTube MMC",1
99,@PSHKIndonesia,"Op-ed: Apabila kita tidak ingin mengulangi proses buruk  yg terjadi pada UU Cipta Kerja, kita harus meninjau ulang penggunaan metode ini. Apalagi masih ada tiga RUU yg akan menggunakan metode omnibus

Simak opini peneliti kami, Nabila via 
@ConversationIDNSelain Cipta Kerja, ada tiga omnibus law lain yang menunggu disahkan. Apa layak diteruskan?
Penggunaan metode _omnibus law_ dalam perundang-undangmemiliki banyak masalah, harus ditinjau ulang.
theconversation.com",1
100,@Mahadewi68,"JKP tertuang dalam pasal selipan pasal baru, yakni Pasal 46A RUU Cipta Kerja. Bagian dari omnibus law ini merevisi UU No 40 Th 2004 tentang SJSN. Pekerja/buruh yg mengalami PHK berhak mendapatkan JKP melalui BPJS Ketenagakerjaan.
OmnibusLaw Mantul Beut
#CiptaKerjaDemiRakyat
4",1
102,@esgula_batu,"Membalas 
@AdriSanMiguel
 @BetaKopites_
 dan 
@LFCAnda pendukung pemerintah ya kerja kerja kerja terus, Tolak RUU Cipta Kerja mas Adrian!!!",1
103,@UmmuHAURA7,"RUU Cipta Kerja
Draf RUU Cipta Kerja

Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!! Tonton fakta selengkapnya dalam video mmc",1
107,@Evanescentbby,"Kebijakan Satu Peta RUU Cipta Kerja Juga mengatur dan menetapkan kebijakan satu peta (one map policy). Kebijakan dituangkan dalam Rencana Tata Ruang Wilayah (RTRW).darat,laut pesisir pulau-pulau kecil,serta tata ruang kawasan terutama hutan akan terintegrasi
#CiptaKerjaDemiRakyat",1
108,@ComelKatamu,"Lahirnya RUU Cipta Kerja, menurut Sri Mulyani, dilihat oleh lembaga-lembaga tersebut merupakan sebuah inovasi dari pemerintah untuk menarik investasi demi pembangunan ekonomi jangka panjang.
https://m.bisnis.com/amp/read/20201019/9/1306762/uu-cipta-kerja-dipuji-oleh-lembaga-asing-ini-respons-sri-mulyani…
OmnibusLaw Mantul Beut
#CiptaKerjaDemiRakyat",1
109,@AndinyZein,"Menteri Keuangan Sri Mulyani Indrawati menyatakan pengesahan Rancangan Undang-Undang (RUU) Cipta Kerja disambut positif oleh sejumlah lembaga internasional.
OmnibusLaw Mantul Beut
#CiptaKerjaDemiRakyat
https://m.bisnis.com/amp/read/20201019/9/1306762/uu-cipta-kerja-dipuji-oleh-lembaga-asing-ini-respons-sri-mulyani…",1
113,@Aisyahtalitha1,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMC

Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini..Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",1
118,@LestariSarmi,"Published on Oct 20, 2020
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!!",1
119,@rakyatmedia77,"BEM SI Kembali Berunjuk Rasa di Jakarta Tolak RUU Cipta Kerja - Rakyat MediaBEM SI Kembali Berunjuk Rasa di Jakarta Tolak RUU Cipta Kerja - Rakyat Media
JAKARTA, RAKYATMEDIA.COM-Badan Eksekutif Mahasiswa Seluruh Indonesia (BEM SI) kembali berunjuk rasa menentang RUU Cipta Kerja, pada hari ini, Selasa 20 Oktober 2020. Koordinator BEM SI, Remy Hastian...
rakyatmedia.com",1
128,@CrastFM,"BEM SI kembali berujuk rasa menentang RUU Cipta Kerja di depan Istana Negara pada tanggal 20 Oktober 2020. Buat teman-teman yang turun kelapangan tetap hadi-hati dan kenakan maskerBEM SI Kembali Demo Tolak RUU Cipta Kerja Hari Ini
Badan Eksekutif Mahasiswa Seluruh Indonesia (BEM SI) kembali berunjuk rasa menentang RUU Cipta Kerja, pada Selasa 20 Oktober 2020 besok.
m.liputan6.com",1
132,@alesha_maryam,"Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!!",1
135,@1953aisyah,"RUU Cipta Kerja
Draf RUU Cipta Kerja

Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!! Tonton di YT MMC! ",1
139,@ZuraZuraidah1,"rapat larut malam saat weekend demi sahnya RUU Cilaka, hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!! Tonton faktanya dlm video di channel YouTube MMC
#IngatAllahMahaAdil 
#MuslimahWajibDakwahKhilafah 
#DakwahKhilafahDakwahIslam 
#IslamRahmatanLilAlamin",1
140,@Taslikha1,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMC

Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR mengaku",1
143,@9596aafnd,"Membalas 
@calonalarmmuRapat gawe ruu cipta kerja tah?",1
145,@choco_afk33,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, https://youtu.be/DZmnBOZptuA 
@YouTubeKetua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",1
147,@payunghukum_id,"Belum lama ini, pemerintah mengumumkan bahwa RUU CiptaKer akan disahkan pada akhir September-awal Oktober 2020.
Menurutmu, adakah dampak lain dari sah nya RUU ini selain yg telah dijabarkan diatas?

Share pendapatmu di kolom ya
,
let's discuss 
#ruuciptakerja #omnibuslaw",1
148,@payunghukum_id,"Apakah sobat PHD disini sudah mendengar tentang RUU CiLaKa?

Sejak Februari 2020, sebenarnya nama RUU CiLaKa yang sudah tersebar seantero Indonesia diganti menjadi RUU Cipta Kerja (bisa disingkat menjadi RUU CiptaKer).",1
149,@ravida_anis,"Keywords:

RUU Cipta Kerja
Draf RUU Cipta Kerja

Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!! Tonton fakta selengkapnya dalam",1
152,@EpyIwang,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya?
 Astaghfirullah!! Tonton fakta selengkapnya dalam video ini.Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",1
168,@y4n1e_,"Sudah jatuh, tertimpa tangga pula. Begitulah nasib perempuan saat ini. RUU Cipta Kerja yg dikebut pd 5/10/2020 ini dinilai merugikan kalangan buruh termasuk perempuan. 
Selengkapnya, di sini
https://youtu.be/XSGL7XXhx6A
#OmnibusLawSengsarakanPerempuan 
@Aghisya1
 @ghuntz
 @nirmala0404Tweet Kutipan
Nayla Syafwatullah
@NaylaShafwatul2
 · 20 Okt
UU Ciptaker menghapus pasal 59 UUK yang mengatur tentang syarat pekerja waktu tertentu atau pekerja kontrak. Dengan penghapusan pasal ini, tidak ada batasan aturan kontrak seorang pekerja.
#OmnibusLawSengsarakanPerempuan
@Najwa_Alifah02 @KhansaAlBanjary @y4n1e_",1
178,@MimiNizam,"Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!! Tonton fakta selengkapn",1
186,@Albanta03330899,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMC

Astaghfirullah!! Tonton fakta selengkapnya dalam video ini.

https://youtu.be/DZmnBOZptuA

Jangan lupa share seluas-luasnya Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",1
196,@bagikanberita,"Polda Metro Tangkap Tiga Penggerak Pelajar Ricuh Unjuk Rasa RUU Cipta Kerja, Ada Admin FB 'STM Sej
#poldametrojaya
#tangkappenggerakdemo
#demopelajar #anakstm #ruuciptakerja #ruuomnibuslawPolda Metro Tangkap Tiga Penggerak Pelajar Ricuh Unjuk Rasa RUU Cipta Kerja, Ada Admin FB 'STM Sej...
Polda Metro Tangkap Tiga Penggerak Pelajar Ricuh Unjuk Rasa RUU Cipta Kerja, Ada Admin FB 'STM Sejabodetabek'
bagikanberita.pikiran-rakyat.com",1
201,@blitar404,"Membalas 
@idtodaycoWaspada ada paham P.. dalam pengesahan Ruu cipta kerja",1
214,@EkoFirman15,"RUU CIPTA KERJA onimboslaw 
 Penggerak positif bagi masyarakat Indonesia 
 tercinta. Di semua sektor industri boroh pabrik UMKM . Demonstran sekarang beraksi melawan anarkis.",1
236,@Fadlin10247517,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMC

Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, Tonton fakta selengkapnya di channel mmc!",1
261,@otetsbratva,"pagi pagi, dengan nomor tak dikenal
dikirimin pidato tentang ruu cipta kerja. who?",1
272,@begudgerl,"Membalas 
@jeonginluvyuTuhhh kan gua dulu pas SMP anu in adkel juga cpt ini pas SMA lama bat sama RUU cipta kerja aj cpt an ruu",1
