,id_dataset,user_account,tweet,clean_tweet,label,id_user
10,54877,@tolakbigotnkri,"DPR RI menetapkan RUU Omnibus Law Cipta Kerja masuk dalam prioritas Prolegnas tahun 2020, ditetapkan pada Rapat Paripurna 22 Januari 2020.
#OmnibusLawTaatProsedur 
@Je_Ly
 @Kumis_Separoh",dewan wakil rakyat rakyat indonesia tetap rancang undang undang omnibus law cipta kerja masuk prioritas program legislatif nasional tahi tetap rapat paripurna januari,1,1
11,54878,@yasinmuthohar," *[LIVE] BURUH MENGGUGAT #5*
.
Forum Aliansi Buruh Tolak RUU Cipta Kerja *MEMANGGIL* Saudara Saudaraku Buruh dari berbagai Elemen merapatkan barisan *MENOLAK UU Omnibus Law Cipta Kerja*. Mari Saksikan dan Ikuti Diskusi *4-8 Oktober 2020* Pkl 15.30-17.00 WIB :

*SESI 5 :*",live buruh gugat forum aliansi buruh tolak rancang undang undang cipta kerja panggil saudara saudara buruh elemen rapat baris tolak undang undang omnibus law cipta kerja mari saksi ikut diskusi oktober pkl wib sesi,1,1
12,54879,@prihullala,"Disahkan ruu cipta kerja di tengah pandemi, serasa ada yg janggal, knp harus tergesa-gesa di sahkan. Hanya bisa berdoa buat yg sedang turun ke jalan memperjuangkan hak-hak kemanusiaan, semoga sehat selalu dan tdk ada klaster covid baru. Salam dari team gugus tugas covid-19",sah rancang undang undang cipta kerja pandemi serasa janggal gesa gesa sah doa turun jalan juang hak hak manusia moga sehat kluster covid salam tim gugus tugas covid,1,1
13,54880,@MDrezaakmal1,"Nanggroe Aceh memanggil
Penolakan RUU Cipta kerja!!!
Hidup Mahasiswa indonesia 
 panjang umur perjuangan
08oct20
Lhokseumawe,Aceh.

#panjangumurperjuangan 
#DPRPengkhianatRakyat 
#MOSITIDAKDIPERCAYA0:43
576 tayangan",nanggroe aceh panggil tolak rancang undang undang cipta kerja hidup mahasiswa indonesia umur juang lhokseumawe aceh tayang,0,1
14,54881,@YuliEndah3,"#TumpasDalangRencanaMakar 
Inilah kader yg pinter bikin Hoax.
Tumpas para kadrun jg kadrunwati yg bikin hoax nggak jelas. 
Baca RUU Cipta Kerja yg asli jgn mudah di bodohi oleh sumber yg tdk jelas ini  ",kader pintar bikin hoax tumpas kadrun kadrunwati bikin hoax baca rancang undang undang cipta kerja asli mudah bodoh sumber,1,1
15,54882,@LgVeder,"Tradisi sandiwara di partai ini makin menjadi.Saat ini memanfaatkan situasi dari ramai nya Hoaks RUU CIPTA KERJA. berharap dapat kesempatan di tikungan terakhir, spy dpt perhatian masyarakat. 
Cemen amat si, gaya nya Bapak sm anak ini. 
#BahayaLatenGuritaCikeas",tradisi sandiwara partai manfaat situasi ramai hoax rancang undang undang cipta kerja harap sempat tikung perhati masyarakat cemen si gaya anak,1,1
16,54883,@ukhty_WATI,"Tok! DPR Sahkan RUU Cipta Kerja, Mahasiswa hingga K-Popers Turun Ke Jalan! | Serba-serbi MMC

Pembahasan Omnibus Law, RUU cipta kerja atau RUU yang dianggap membawa celaka bagi para buruh Indonesia kini telah mencapai puncaknya.Tok! DPR Sahkan RUU Cipta Kerja, Mahasiswa hingga K-Popers Turun Ke...
Pembahasan Omnibus Law, RUU cipta kerja atau RUU yang dianggap membawa celaka bagi para buruh Indonesia kini telah mencapai puncaknya. Hal tersebut ditandai ...
youtube.com",dewan wakil rakyat sah rancang undang undang cipta kerja mahasiswa k pop turun jalan serba serbi mmc bahas omnibus law rancang undang undang cipta kerja rancang undang undang anggap bawa celaka buruh indonesia capai puncak dewan wakil rakyat sah rancang undang undang cipta kerja mahasiswa k pop turun bahas omnibus law rancang undang undang cipta kerja rancang undang undang anggap bawa celaka buruh indonesia capai puncak tanda,0,1
17,54884,@MWuryantati,"Jika draft yang“katanya”draft final RUU Cipta Kerja tersebut&sdh beredar benar adanya,pertanyaan berikutnya,khusus klaster ketenagakerjaan,knp isi draft final berbeda dg keputusan rapat panja RUU Cipta Kerja 27 Sept 2020,@ Hotel Swissbell Tangerang?
#KRPIPerppuBatalkanUUCipker",draf draf final rancang undang undang cipta kerja edar khusus kluster ketenagakerjaan isi draf final beda putus rapat panitia kerja rancang undang undang cipta kerja hotel swissbell tangerang,0,1
18,54885,@LILApama2011,"Belakangan ini di media sosial banyak tersebar berita hoax terkait dengan Omnibus Law RUU cipta kerja.  

Awas Corona #UUCiptaKerjaHarapanRakyatWaspada Hoax Soal RUU Cipta Kerja yang Tersebar di Media Sosial
Belakangan ini di media sosial banyak tersebar berita hoax terkait dengan Omnibus Law RUU cipta kerja.
correcto.id",media sosial sebar berita hoax kait omnibus law rancang undang undang cipta kerja awas corona hoax rancang undang undang cipta kerja sebar media sosial media sosial sebar berita hoax kait omnibus law rancang undang undang cipta kerja koreksi,1,1
19,54886,@IndonesiaBaikId,"Hai SohIB! Senin lalu (5/10) DPR akhirnya mengesahkan RUU Cipta Kerja menjadi#UUCiptaKerja. Aa sih urgensinya? 

#IndonesiaBaik #YangMudaSukaData #Infografis #ProgramPemerintah  #OmnibusLaw #Ekonomi 
@PerekonomianRI",hai sohib senin dewan wakil rakyat kesah rancang undang undang cipta kerja sih urgensi,1,1
20,54887,@demokrasicoid,"Dalam RUU Omnibus Law Cipta Kerja, Asing Boleh Miliki Rusun, Bahaya Buat Warga Lokal? - Follow 
@demokrasicoidDalam RUU Omnibus Law Cipta Kerja, Asing Boleh Miliki Rusun, Bahaya Buat Warga Lokal?
Rancangan Undang-undang (RUU) Omnibus Law Cipta Kerja telah disahkan. Salah satu kebijakan yang cukup menarik perhatian adalah diperbolehkannya asing
demokrasi.co.id",rancang undang undang omnibus law cipta kerja asing milik rusun bahaya warga lokal follow rancang undang undang omnibus law cipta kerja asing milik rusun bahaya warga lokal rancang undang undang rancang undang undang omnibus law cipta kerja sah salah bijak tarik perhati boleh asing demokrasi,1,1
21,54888,@MonologeLLy_318,"Menaker 
@idafauziyah
 menegaskan bahwa Pembahasan RUU Cipta Kerja Transparan dan Demokratis.

#OmnibusLawTransparan",menteri ketenagakerjaan bahas rancang undang undang cipta kerja transparan demokratis,1,1
22,54889,@KemnakerRI,"Ibu Ida menegaskan sejak dimulai pembahasan sejak 20 April hingga disahkan menjadi UU pada 5 Oktober 2020 lalu, proses penyusunan RUU Cipta Kerja melibatkan unsur pekerja/buruh yang diwakili SP/SB, Pengusaha, Kementerian/Lembaga, Akademisi, dan lembaga lain seperti 
@IndonesiaILO",ida bahas april sah undang undang oktober proses susun rancang undang undang cipta kerja libat unsur kerja buruh wakil sp serikat buruh usaha menteri lembaga akademisi lembaga,1,1
23,54890,@AURIGA_ID,"KEJAHATAN KONSTITUSI DI MASA PANDEMI

Konsorsium Pembaruan Agraria (KPA) menilai sikap DPR dan pemerintah yang menyepakati pembahasan RUU Cipta Kerja—kini telah disahkan sebagai Undang-undang—di tengah pandemi adalah bentuk kejahatan konstitusi",jahat konstitusi pandemi konsorsium baru agraria konsorsium baru agraria nilai sikap dewan wakil rakyat perintah pakat bahas rancang undang undang cipta kerja sah undang undang pandemi bentuk jahat konstitusi,0,1
24,54891,@tigorsiagian,"Yang menarik buat saya dari isi UU Cipta Kerja, apabila tidak berubah dari draft RUU seperti di sini: https://cdn.cnbcindonesia.com/cnbc/ruu-tentang-cipta-kerja.pdf…, adalah soal pendirian Lembaga Pengelolaan Investasi (LPI). Di media selalu disebut sebagai Sovereign Wealth Fund (SWF). 1/n",tarik isi undang undang cipta kerja ubah draf rancang undang undang,1,1
25,54892,@_daRNo_,"Bank Dunia merespon positif RUU Cipta Kerja. Krn mengatur reformasi birokrasi dan regulasi utk kemudahan investasi.
Hal ini diharapkan dpt memancing investor ke Indonesia.

Memudahkan yg sulit
Menyederhanakan yg rumit
Kenapa tidak?
#CiptaKerjaLapanganKerja
#TolakDemoRusuh",bank dunia respons positif rancang undang undang cipta kerja atur reformasi birokrasi regulasi mudah investasi harap pancing investor indonesia mudah sulit sederhana rumit,1,1
26,54893,@LILApama2011,"Dengan demikian, industri dapat menyesuaikan biaya produksinya di daerah tersebut.  UMP itu diatur dalam pasal 88C-88G RUU Cipta Kerja.

Awas Covid #UUCiptaKerjaHarapanRakyat",industri sesuai biaya produksi daerah ump atur pasal rancang undang undang cipta kerja awas covid,1,1
27,54894,@Ayudewinkr1,"abar UMP, UMK UMSP dihapus, sementara di dalam salah satu pasal RUU yang sudah disahkan menjadi undang-undang Cipta Kerja, Bab IV, pasal 88-c, upah minimum ditetapkan oleh Pemprov, #FaktaOmnibusLaw",abar ump upah minimum upah minimum sektoral provinsi hapus salah pasal rancang undang undang sah undang undang cipta kerja bab iv pasal c upah minimum tetap perintah provinsi,1,1
28,54895,@TRANSTV_CORP,"Bapak DPR di Panja RUU Cipta kerja memastikan bahwa naskah UU Cipta Kerja sudah final. Namun saat ini masih dalam penyisiran agar sesuai pembahasan dan tak ada typo.Baleg DPR: Naskah Final UU Ciptaker Sedang Diperbaiki Tanpa Ubah Substansi
Panja RUU Cipta Kerja DPR memastikan naskah UU Cipta Kerja sudah final. Namun saat ini masih dalam penyisiran agar sesuai pembahasan dan tak ada typo.
news.detik.com",dewan wakil rakyat panitia kerja rancang undang undang cipta kerja naskah undang undang cipta kerja final sisir sesuai bahas salah ketik baleg dewan wakil rakyat naskah final undang undang cipta kerja baik ubah substansi panitia kerja rancang undang undang cipta kerja dewan wakil rakyat naskah undang undang cipta kerja final sisir sesuai bahas salah ketik news,1,1
29,54896,@irwanto_sukma,"Membalas 
@kharimakharima1Walaikumsalam.wr.wb.yg JD pertanyaan beliau punya sikap tentang RUu ciptakerja ga ya?! Kok kesannya beliau bangga dgn membangun kota?!",balas wr wb beliau sikap rancang undang undang cipta kerja ya kesan beliau bangga bangun kota,1,1
30,54897,@gemilang06,"Salah satu fakta yg di bikin HOAX oleh oknum yg tdk bertanggung jawab pasal 78 RUU CIPTA KERJA

#CegahKorupsiDenganOBL",salah fakta bikin hoax oknum tanggung pasal rancang undang undang cipta kerja,1,1
31,54898,@iimhasina,"Kami menolak , kalian malah mengesahkannya. RUU Cipta kerja semakin mencekik rakyat >> #EkonomiKhilafahAntiKrisis << 

#tdx5Dari 
Move Up 1453",tolak kesah rancang undang undang cipta kerja cekik rakyat move up,0,1
32,54899,@hariankompas,"Pihak yang masih keberatan dengan isi RUU Cipta Kerja dipersilakan oleh Presiden untuk mengajukan uji materi ke Mahkamah Konstitusi. 

#Polhuk #adadikompasPresiden: Silakan ke MK
Pihak yang masih keberatan dengan isi RUU Cipta Kerja dipersilakan oleh Presiden untuk mengajukan uji materi ke Mahkamah Konstitusi. Penolakan terhadap RUU itu masih terjadi.
kompas.id",berat isi rancang undang undang cipta kerja sila presiden aju uji materi mahkamah konstitusi sila mahkamah konstitusi berat isi rancang undang undang cipta kerja sila presiden aju uji materi mahkamah konstitusi tolak rancang undang undang kompas,1,1
33,54900,@garutupdate_,Menolak RUU Cipta Kerja Ribuan Pendemo Sudah Memenuhi Bundaran Simpang Lima dan Akan Berlanjut ke Gedung DPR Garut,tolak rancang undang undang cipta kerja ribu demo penuh bundar simpang lanjut gedung dewan wakil rakyat garut,1,1
34,54901,@EkoFirman15,"Berunding dengan berbagai kalangan pengusaha pekerja bororh  tokoh masyarakat Indonesia udah di bahas sembilan hari. RUU CIPTA KERJA onimboslaw. Arti nya RUU yang dulu di syipel kan dengan nama RUU CIPTA KERJA onimboslaw. Dan situ sangat menjunjung tinggi semua kalanganTweet Kutipan
Selena Gemeziiinn #TerimaJasaSleding
@MalvaSelena
 · 16 Okt
@DPR_RI sdh melakukan pertemuan dgn banyak lapisan masy utk mendengarkan aspirasi terkait klaster2 di UU Cipta Kerja. Pertemuan dgn tokoh masyarakat, guru, pendidikan, kaum pengusaha, kaum buruh, kaum masyarakat dilakukan sampai dengan 89 kali dilakukan.
#OmnibusLawBasmiKorupsi",runding kalang usaha kerja tokoh masyarakat indonesia bahas sembilan rancang undang undang cipta kerja omnibus law arti rancang undang undang simpel nama rancang undang undang cipta kerja omnibus law situ junjung kalanga tweet kutip lena gemas oktober temu lapis masyarakat dengar aspirasi kait undang undang cipta kerja temu tokoh masyarakat guru didik kaum usaha kaum buruh kaum masyarakat kali,1,1
35,54902,@elvablogger,"#KRPIPerppuBatalkanUUCipker
Usulan itu lebih kuat karena bernafaskan konstitusi UUD 1945, ketimbang muatan Naskah Akademik dan RUU Cipta Kerja yg dibuat Pemerintah tweeps.. Kalian mesti tahu ini",usul kuat nafas konstitusi undang undang dasar ketimbang muat naskah akademik rancang undang undang cipta kerja perintah tweep mesti,1,1
36,54903,@jumianto_RK,"@BennyHarmanID
 pengecut parlemen, dari awal ikut menyetujui RUU Cipta Kerja

Pas jelang pengesahan ketuk palu UU Cipta Kerja, tiba2 Fraksi Demokrat menolak dan walk out

Ini semua instruksi dari 
@AgusYudhoyono
 dan 
@SBYudhoyono
 yang sudah dirancang untuk main sandiwara politik",kecut parlemen tuju rancang undang undang cipta kerja pas jelang kesah ketuk palu undang undang cipta kerja fraksi demokrat tolak jalan instruksi rancang main sandiwara politik,0,1
37,54904,@denni_loyz,"Simak ya guys !! 

Dibawah ini penjelasan RUU Cipta Kerja thd butir2 keberatan para buruh :
#RakyatButuhCiptaKerja",simak ya teman bawah jelas rancang undang undang cipta kerja berat buruh,1,1
38,54905,@effendi____,"10 Kesimpulan Hasil Kajian Komnas HAM terkait RUU Cipta Kerja.

Sila baca.Ini 10 Kesimpulan Hasil Kajian Komnas HAM atas RUU Cipta Kerja Halaman all - Kompas.com
Komnas HAM juga merekomendasikan penghentian pembahasan omnibus law Rancangan Undang-Undang (RUU) Cipta Kerja. Halaman all
nasional.kompas.com",simpul hasil kaji komnas hak asai manusia kait rancang undang undang cipta kerja sila baca simpul hasil kaji komnas hak asai manusia rancang undang undang cipta kerja halaman all komnas hak asai manusia rekomendasi henti bahas omnibus law rancang undang undang rancang undang undang cipta kerja halaman all nasional,1,1
39,54906,@bem__upnvj,"Omnibus Law RUU Cipta Kerja hanya berpihak kepada oligark dan menindas kaum pekerja. Nampaknya Benar kata Tan Indonesia kita masih tetap menjadi budak belian yang penurut dari perampok perampok kapitalisme.
#VeteranMenggugat #MosiTidakPercaya #BatalkanOmnibusLaw #JegalSampaiGagal",omnibus law rancang undang undang cipta kerja pihak oligarki tindas kaum kerja nampak tan indonesia budak beli turut rampok rampok kapitalisme,0,1
40,54907,@gadisresidu_b3,"Ini wanita penyebar hoax RUU Cipta Kerja kenapa dibiarkan..?? #Biangnya
https://m.facebook.com/story.php?story_fbid=3482514305120465&id=100000857904078…",wanita sebar hoax rancang undang undang cipta kerja biar,1,1
41,54908,@Anturi_16,"Waw.. Wow.. BADUT POLITIK
Mantan Ketua DPR RI 2009-2014,
Rektor Universitas Indo Global Mandiri (UIGM) Palembang
MARZUKI ALIE,

blak2an dirinya menyediakan ONGKOS dan UM,
para mahasiswa yang ikut dlm aksi unjuk rasa menolak RUU Cipta KerjaMantan Ketua DPR Marzuki Alie Blak-blakan Ongkosi Mahasiswa Demo Tolak Omnibus Law Cipta Kerja
Mantan Ketua DPR RI periode 2009-2014, Marzuki Alie, blak-blakan mengungkapkan jika dirinya menyediakan ongkos bagi pad mahasiswa
kompas.tv",wow badut politik mantan ketua dewan wakil rakyat rakyat indonesia rektor universitas indonesia global mandiri ui ugm palembang marzuki alie sedia ongkos upah minimum mahasiswa aksi unjuk tolak rancang undang undang cipta kerja mantan ketua dewan wakil rakyat marzuki alie blak blakan ongkos mahasiswa demo tolak omnibus law cipta kerja mantan ketua dewan wakil rakyat rakyat indonesia periode marzuki alie blak blakan sedia ongkos dapat asli daerah mahasiswa kompas televisi,0,1
42,54909,@SSekampung,"Fahira Idris: Pengesahan RUU Cipta Kerja Berpotensi Menggerus Sistem Imun RakyatFahira Idris: Pengesahan RUU Cipta Kerja Berpotensi Menggerus Sistem Imun Rakyat
Uni Fahira Idris menilai konsentrasi rakyat terpercah setelah RUU Cipta Kerja disahkan
jpnn.com",fahira idris kesah rancang undang undang cipta kerja potensi gerus sistem imun rakyat fahira idris kesah rancang undang undang cipta kerja potensi gerus sistem imun rakyat uni fahira idris nilai konsentrasi rakyat cah rancang undang undang cipta kerja sah,1,1
43,54910,@crown_abie,"Regulasi baru dlm RUU Cipta Kerja ini akan membantu pemulihan ekonomi Indonesia dr dampak Covid-19

Investasi banyak masuk, lapangan kerja akan terbuka

OmnibusLaw Mantap
#CiptaKerjaBermanfaat
Bank Dunia Dukung Indonesia Sahkan Omnibus Law RUU Cipta KerjaBank Dunia Dukung Indonesia Sahkan Omnibus Law RUU Cipta Kerja
Ipotnews - Bank Dunia kantor perwakilan Indonesia mendukung pemerintah RI yang mendorong pengesahan Omnibus Lawa RUU Cipta Kerja. Regulasi baru ini akan membantu pemulihan ekonomi Indonesia dari...
indopremier.com",regulasi rancang undang undang cipta kerja bantu pulih ekonomi indonesia dampak covid investasi masuk lapang kerja buka omnibus law mantap bank dunia dukung indonesia sah omnibus law rancang undang undang cipta kerja bank dunia dukung indonesia sah omnibus law rancang undang undang cipta kerja ipotnews bank dunia kantor wakil indonesia dukung perintah rakyat indonesia dorong kesah omnibus lawa rancang undang undang cipta kerja regulasi bantu pulih ekonomi indonesia,1,1
44,54911,@Dee_01984,"Setelah melalui tahapan2 sebelum nya,Badan Legalisasi (Baleg) 
@DPR_RI
,
@DPDRI
 dan pemerintah melakukan rapat perdana untuk pembahasan RUU Cipta Kerja pada tanggal 14 April 2020.dan dalam rapat tersebut,Panitia Kerja (Panja)RUU Cipta Kerja resmi dibentuk.
#OmnibusLawTaatProsedural",badan legalisasi baleg perintah rapat perdana bahas rancang undang undang cipta kerja tanggal april rapat panitia kerja panitia kerja rancang undang undang cipta kerja resmi bentuk,1,1
45,54912,@03__nakula,"RUU Cipta Kerja dibuat bertujuan untuk mengurangi pengangguran yang saat ini mencapai 7-8%.
Dengan kemudahan berinvestasi tanpa mengurangi hak"" buruh dan tetap mengedepankan kelestarian lingkungan hidup, diharap bisa menyerap banyak tenaga kerja. 

#RakyatButuhCiptaKerjaNashir dan 7 lainnya",rancang undang undang cipta kerja tuju kurang anggur capai mudah investasi kurang hak buruh depan lestari lingkung hidup harap serap tenaga kerja,1,1
46,54913,@fadlizon,"Aksi demonstrasi di berbagai daerah yang dilakukan oleh para mahasiswa dan pelajar pasca-pengesahan RUU Cipta Kerja, telah diberi stigma buruk oleh pemerintah.",aksi demonstrasi daerah mahasiswa ajar pasca kesah rancang undang undang cipta kerja stigma buruk perintah,0,1
47,54914,@restrotangkot,"Kapolres Metro Tangerang Kota KOMBES POL SUGENG HARIYANTO,S.IK,M.Hum berserta jajaran unsur TNI melaksanakan pam aksi unras penolakan RUU Cipta Kerja / Omnibus Law di kawasan Niaga Terpadu Batuceper memberikan himbauan agar massa demo tidak berbuat anarkis dan mematuhi prokes",kapolres metro tangerang kota kombes pol sugeng hariyanto s m hum serta jajar unsur tni laksana pam aksi unras tolak rancang undang undang cipta kerja omnibus law kawasan niaga padu batuceper himbau demo buat anarkis patuh protokol sehat,1,1
48,54915,@vvdoubleu,"Membalas 
@ernestprakasaYANG NANYAIN PAK JOKOWI KEMANA, BELIAU UDAH NGEJELASIN KO MENGENAI RUU CIPTA KERJA INI, UNTUK PENJELASANNYA BISA LANGSUNG LU CEK DAH https://instagram.com/tv/CGHtL1dp30F/?igshid=1e6yrr4u9f0ka…",balas jokowi mana beliau rancang undang undang cipta kerja jelas langsung cek,1,1
49,54916,@infocianjur,"Ribuan buruh yang tergabung dalam serikat pekerja Cianjur, kembali melakukan aksi unjuk rasa, Kamis (8/10/2020).

Mereka berencana menggeruduk kembali kantor DPRD Cianjur untuk menuampaikan aspirasinya terkait disahkannya RUU Cipta Kerja. 

#cianjur
#infocianjur",ribu buruh gabung serikat kerja cianjur aksi unjuk kamis rencana geruduk kantor dewan wakil rakyat daerah cianjur aspirasi kait sah rancang undang undang cipta kerja,1,1
50,54917,@jitoe02,"Penjelasan RUU Cipta Kerja

Pesangon betul betul menjadi hak dan dapat diterima oleh pekerja

#RakyatButuhCiptaKerja

Baca dibawah ini ",jelas rancang undang undang cipta kerja sangon hak terima kerja baca bawah,1,1
51,54918,@indozonemedia,"Unjuk rasa tolak RUU Cipta Kerja di Lampung berlangsung santuy, bahkan terlihat para pendemo yang ajak duel main catur dengan polisi. #KAMUHARUSTAUUnjuk Rasa Santuy di Lampung, Pendemo Ajak Duel Main Catur dengan Polisi | Indozone.id
Nah baru baru ini, terlihat demonstrasi mahasiswa menolak omnibus law di Lampung terselip aksi santuy dari aparat kepolisian dan demonstran
indozone.id",unjuk tolak rancang undang undang cipta kerja lampung santai demo ajak duel main catur polisi santai lampung demo ajak duel main catur polisi indozone demonstrasi mahasiswa tolak omnibus law lampung selip aksi santai aparat polisi demonstran indozone,0,1
52,54919,@fahiraidris,14. Namun tidak semua usulan DPD RI diakomodir sebagaimana disampaikan dalam pandangan mini DPD RI pada pengambilan keputusan Pembahasan Tingkat I RUU Cipta Kerja tanggal 3 Oktober 2020.Fahira Idris DPD RI dan 2 lainnya,usul dewan wakil daerah rakyat indonesia akomodir pandang mini dewan wakil daerah rakyat indonesia ambil putus bahas tingkat rancang undang undang cipta kerja tanggal oktober fahira idris dewan wakil daerah rakyat indonesia,1,1
53,54920,@Monica_wires07,"TOLAK RUU CIPTA KERJA
#MahasiswaBergerak
#MahasiswaTurunKejalan
#TolakOmnibusLaw
#GagalkanOmnibusLaw
#DPRRIKhianatiRakyat
#MosiTidakPercaya
#DPRPEMBOHONG
#GugatUUCiptaKerja
#IndonesiaDalamBahayaTweet Kutipan
IndonesiaToday
@idtodayco
 · 8 Okt
Kecewa UU Omnibus Law, Ketua PAN Kota Bandung Mengundurkan Diri https://news.idtoday.co/kecewa-uu-omnibus-law-ketua-pan-kota-bandung-mengundurkan-diri/…",tolak rancang undang undang cipta kerja kutip indonesia today oktober kecewa undang undang omnibus law ketua pan kota bandung undur,0,1
54,54921,@Bujang_Jibun,"SUDAH JATUH KORBAN™

Proses evakuasi korban peserta aksi demonstrasi RUU Cipta Kerja oleh tim PMI Kabupaten Banyumas. 

Kamis, Malam (15-10)",jatuh korban proses evakuasi korban serta aksi demonstrasi rancang undang undang cipta kerja tim pmi kabupaten banyumas kamis malam,1,1
55,54922,@KamalRoland,"Membalas 
@RachlanNashidikAda yg mau cuci tangan si pengusul Draft RUU CIPTAKERJA skrg kabur",balas cuci tangan si usul draf rancang undang undang cipta kerja kabur,0,1
