,user_account,tweet,label
454,@Joy13Candy,"Membalas 
@Ngebutmaut
 @_decepticon007
 dan 
@VIVAcoidIyaa makanya saya juga gak setuju pengesahan RUU Cipta Kerja yg ada nanti kayak UU KPK sekarang jadi gak guna kasus"" Korupsi gak di publik, apalagi RUU omnibus law yg bisa merugikan banyak hal ",0.0
1374,@roti123A,Puan pastikan Omnibus law RUU cipta kerja dibahas transparan dan terbuka #OmnibusLawTransparan,1.0
596,@Antonius_makas,Baca dulu RUU nya dgn lengkap jgn salah kaprak dgn UU Cipta kerja kalau dri yg telah Saya baca bgus buat rakyat dan negara #RakyatButuhUUCiptaKerja,1.0
1219,@OposisiCerdas,"Gunakan Diksi 'Cacat' untuk Kaum Disabilitas, Draf Rinal RUU Cipta Kerja Banjir KritikanGunakan Diksi 'Cacat' untuk Kaum Disabilitas, Draf Rinal RUU Cipta Kerja Banjir Kritikan
Draf final UU Omnibus Law Cipta Kerja yang sudah disahkan DPR bersama pemerintah beberapa waktu lalu masih simpang siur.   Akibatnya, publik...
oposisicerdas.com",0.0
1594,@germantantra,"Asik
Lumayan nambah proyek baru nih...
Tau dong siapa orangnya?

Rusuh Demo Tolak RUU Cipta Kerja, Tenda PSBB Tugu Tani HancurRusuh Demo Tolak RUU Cipta Kerja, Tenda PSBB Tugu Tani Hancur
Polisi menembakkan gas air mata menyusul massa demo tolak RUU Cipta Kerja yang ricuh di Tugu Tani, Jakarta Pusat.
liputan6.com",0.0
225,@aguspitut1,"Membalas 
@mohmahfudmdKalo ruu cipta kerja ini gold, 5 tahun lagi tidak ada orng ke luar negri hanya untuk kerja pabri, TKW jg akan berkurang.",1.0
1571,@Heyadittt,"Membalas 
@undipmenfessTiap hari pagi sore jogging 6 km kec senin kamis nder kl aku wkwk malamnya kadang liat drakor kadang baca ngerangkum materi atau baca berita update misal draft ruu cipta kerja xD",1.0
1595,@Di2ekZ,"Membalas 
@republikaonlineMmg yg ngomong jg tahu RUU cipta kerja, lha wong di simpan yg buat",1.0
1076,@DahlanMahmud,"Mereka yang merasa paling tahu tentang RUU Cipta Kerja disakmat oleh Menkoinfo dengan  mempermalukan didepan pemirsa tv, sehingga matanajwapun sengaja memboikot durasi untuk Menkoinfo utk menjelaskan permasalahan yang tidak dikuasai oleh mereka yang (asbun) tentang RUU OmnibuslawTweet Kutipan
Arnis.sk jambak,cinta itu musti sesuai
@ondarnis
 · 15 Okt
sami mawon nggak ngerti persoalan,  katanya berdebat di tingkat awal,  apa orang orang itu dilibatkan?
presiden jokowi saja bilang 3 bulan wajib kelar tuh uu? twitter.com/M_Asmara1701/s…",1.0
599,@mitatarmila,Apalagi para buruh maupun aktivis lingkungan dan pihak lain mempunyai kedudukan hukum (legal standing) sebagai pihak yang dirugikan dengan berlakunya RUU Cipta Kerja ini. Maka pilihan judicial review merupakan hal yang paling rasional.,0.0
305,@ridwan_almaydan,"*Hadirilah!*
 *DISKUSI AKTUAL* 
*Telaah Kritis UU Omnibus Law Cipta Kerja dan Solusi Islam*

_Minggu, 18 Oktober 2020_
_Pukul 08.00--selesai_

Pengesahan Omnibus Law RUU Cipta Kerja pada Senin 5 Oktober lalu mendapat penolakan dari berbagai elemen masyarakat, dala",1.0
417,@Tijenhabeahan1,"Membalas 
@Rudy47013057
 dan 
@CNNIndonesiaIni bukan asumsi tapi nyatanya 99 % yg protes gak tau isinya, sebagai masyarakat kan bingung liat yg protes gk tau isinya, ruu gk semua isin ya buruk, untuk cipta kerja kok di pandemi ini, kalo mau elegan bahas dong mana yg perlu di uji materi, banyak ko tokoh yg dukung uji ke mk",0.0
1209,@Lampung_Utara,"RUU Cipta Kerja Untuk Petani

#OmnibusLawPetaniSejahtera",1.0
1214,@MonologeLLy_318,"Pembentukan RUU Cipta Kerja tidak terjadi begitu saja. Semua melalui proses yg panjang dan masih tetap direview dengan para praktisi dan akademisi dari berbagai keilmuan.
@Kemenaker_id
#OmnibusLawTransparan",1.0
1789,@mawakresna,"RUU PKS yang urgent buat masalah begini malah ditunda karena “rumit”. Cipta Kerja yang beneran bikin rumit malah disahkan duluan.Tweet Kutipan
Pikiran Rakyat
@pikiran_rakyat
 · 13 Okt
Nahas, Bocah Belia Tewas Dibunuh saat Lindungi Ibunya dari Pemerkosa di Aceh Timur http://dlvr.it/RjTHTp",0.0
815,@GalangLulang,"Berarti benar ada perubahan dalam naskah RUU Cipta KerjaTweet Kutipan
Mata Najwa
@MataNajwa
 · 14 Okt
Ini beda naskah RUU Cipta Kerja setebal 905 halaman yang diketuk palu di sidang paripurna DPR 5 Oktober 2020 lalu dengan naskah setebal 812 halaman yang diserahkan kepada presiden hari ini. 

#MataNajwaCiptaKerjaManaFaktaManaDusta
Tampilkan utas ini",1.0
1178,@Fentika_95,Tak henti henti pemerintah memberikan informasi terkait RUU cipta kerja. Demi meluruskan berita hoax yg meresahkan masyarakat .,1.0
609,@kawatkuat,"Membalas 
@Anya_____2Ada yang punya link RUU OB CIPTA KERJA?",0.0
859,@denni_loyz,"6. Pembentukan Panja
Tanggal 14 April 2020 Baleg DPR RI, DPD RI dan Pemerintah melakukan rapat pembentukan Panitia Kerja (Panja) RUU Cipta Kerja.
#OmnibusLawTaatProsedural",1.0
512,@frederick_eden,"Membalas 
@jokowiIntinya, yg sering demo rusuh dan yg gagal paham soal RUU cipta kerja ini memamg mereka sedang ga normal cara berpikir..",0.0
1241,@Wahyde250,"Sbnernya ini UU cipta kerja hoax apa gmna? Bnyk yg bersliweran aja katanya hoax gak gini lho, gak gt lho..
Lah draft finalnya aja blm ada, ini msh revisi sana sini
Ini justru yg bkin masyarakat semakin gak percaya
Seharusnya RUU ini dibatalkan saja sudah gak jelas jg ujung2nya",0.0
388,@myputun,"Bagai Kiamat yg Akan Menjemput Rezim Now Sehingga Begitu Terburu-buru dn atau di Paksakan Pengesahannya RUU CILAKA menjadi Undang"".

Ekonom Universitas Indonesia Faisal Basri menyoroti Undang-undang Cipta Kerja atau UU Cipta Kerja yang naskahnya ...Tempo di BaBe
Ekonom Universitas Indonesia Faisal Basri menyoroti Undang-undang Cipta Kerja atau UU Cipta Kerja yang naskahnya masih berubah-ubah setelah disahkan pada Senin, 5 Oktober 2020. Ia mengatakan dalam...
babe.news",0.0
880,@RidwanDmr,"Pak 
@jokowi
 @mohmahfudmd
 Yang seperti ini yang saya takutkan atas disahkannya RUU Cipta kerja mau seberapa banyak lagi rakyat adat yang harus dipenjara dan dikriminalisasi, yang ber-Uang semakin berkuasa bahkan penegak hukum bisa di kuasai hanya dengan kedipan mata. 
@watchdoc_IDTweet Kutipan
Aliansi Masyarakat Adat Nusantara (AMAN)
@RumahAMAN
 · 15 Okt
Konflik masih berlanjut siang ini di Pubabu
Tampilkan utas ini",0.0
1094,@kanglintas,Aksi Damai 1013 Tolak Pengesahan RUU Cipta Kerja http://dlvr.it/RjbvQG,0.0
107,@AndiliRidwan,waktu kerja yang di atur dalam RUU cipta kerja menguntungkan buruh #OmnibusLawBangunBangsa,1.0
1442,@Enji211,". Peresmian Omnibus Law RUU Cipta Kerja masih terganjal oleh para pekerja yang
berkali-kali demo untuk menolaknya. #SilentMajorityDukungOBLSerikat Buruh Mendukung Omnibus Law RUU Cipta Kerja
Oleh : Muhammad Zaki )* Omnibus law RUU Cipta Kerja tak lagi jadi polemik karena serikat buruh akhirnya menyetujuinya, walau dengan beberapa syarat. Mereka akhirnya sadar bahwa RUU ini bermanfaat dan...
klikwarta.com",1.0
810,@DiniHrdianti,"Aturan yg dipergunakan dlm proses penyusunan draft RUU CIPTA KERJA adlh :
UU Ibukota Negara
UU Cipta Lapangan Kerja
dan UU Perpajakan.

Jadi semua mengacu pada 3 UU tsb
#OmnibusLawTaatProsedural",1.0
1720,@RuqBiasaAja,Ruu cipta kerja di revisi berkali² dah kayak skripsi.,0.0
1321,@Neyylaaa,DPR Sdh membuka ruang bagi masyarakat yang ingin menyaksikan jalannya pembahasan Omnibus Law RUU Cipta Kerja. #OmnibuslawTransparan,1.0
1629,@FatLonewolf,"Membalas 
@realeducatioon
 dan 
@blessednerd_ramee kek demo ruu ciptakerja",1.0
1491,@esarahmah,"B. contoh aja cewe viral yang orasi waktu demo RUU Cipta Kerja sambil megang rokok itu. dihujat habis-habisan cuman karena merokok. hey memangnya kenapa kalau merokok? merokok itu pilihan brooo. chill men~~Tweet Kutipan
Dwiki Mic
@dwikimic
 · 13 Okt
Ketika melihat cewek berhijab syar'i tapi jogetan di tiktok, apa yg terbesit di pikiranmu?

A. Astagfirullah, udah pakai hijab syar'i kok masih jogetan sih

B. Alhamdulillah yah meskipun  jogetan tapi setidaknya dia udah pakai hijab syar'i",0.0
235,@Faith19241,"Membalas 
@AbrSamad
 dan 
@msaid_diduApakah pengesahan RUU CIPTA KERJA itu menyalahi undang2?",0.0
1780,@labumi_id,"Pakar Hukum; Kesimpangsiuran RUU Cipta Kerja Akibat Legislasi DipaksakanPakar Hukum; Kesimpangsiuran RUU Cipta Kerja Akibat Legislasi Dipaksakan
Labumi.id, Rancangan Undang-Undang (RUU) Cipta Kerja usai disahkan dalam rapat paripurna, Senin (5/10) lalu dinilai banyak terjadi kesimpangsiuran akibat proses legislasi yang dipaksakan. Pakar Hukum...
labumi.id",1.0
692,@KantahGianyar,"Pembentukan Panitia Penyusunan RUU pun ditaati, yang tertuang dalam Keputusan Menteri Koordinator Bidang Perekonomian Nomor 318 Tahun 2019. 

Selain itu, Pengharmonisasian RUU oleh Kementerian Hukum dan HAM pun telah dilakukan.

#OmnibusLawTaatProsedur
#CiptaKerja",1.0
513,@WVenerdi,"Belum lagi Usai Marak nya Demo *RUU cipta kerja* Sdh muncul gerakan anak anak Menyerukan *_""HAYANG SAKOLA""_* (Ingin Sekolah) Yaa Allah kok terenyuh...Sedih ya ",0.0
491,@DayatPondok,"Pernyataan Sikap Umat Islam Pamekasan dan Ulama Madura; 
""Cabut Undang2 Ciptakerja, Meminta Partai Pendukung RUU HIP dan UU Ciptakerja Untuk Membubarkan Diri, Meminta dgn hormat agar Jokowi Mundur, Siap Menyambut dan Mengawal Kedatangan IB HRS"".",0.0
469,@DawamPra,"Sek pengen weruh ceritane

Skandal DPR dan Pemerintah Jokowi Mengesahkan RUU Cipta Kerja https://tirto.id/f5UX?utm_source=Twitter&utm_medium=Share… lewat 
@tirtoidSkandal DPR dan Pemerintah Jokowi Mengesahkan RUU Cipta Kerja - Tirto.ID
Pengesahan UU Cipta Kerja pada 5 Oktober serba ngebut saat naskahnya masih direvisi.
tirto.id",0.0
831,@kuy_produktif,"Tahapan penyusunan dan pembahasan selanjutnya :
Presiden menyampaikan RUU Cipta Kerja kepada Ketua DPR RI.

Menko Perekonomian bersama Menteri terkait menyapaikan surat Presiden dan naskah RUU Cipta Kerja kepada DPR.
@airlangga_hrt
 
@PerekonomianRI
 

#OmnibusLawTaatProsedural",1.0
310,@Cardina75981802,"RUU Cipta Kerja telah resmi disahkan menjadi Undang-Undang. Meskipun terdapat banyak penolakan dari berbagai piha...Teteh Bigos di BaBe
RUU Cipta Kerja telah resmi disahkan menjadi Undang-Undang. Meskipun terdapat banyak penolakan dari berbagai pihak, tidak membuat pengesahan RUU tersebut ditunda . Ketua DPR Puan Maharani menyebutkan...
babe.news",1.0
493,@BadutKeefce,"Membalas 
@dvna_kaylaaaDia juga bantu share tentang RUU cipta kerja itu di twit dia,,gua seneng bngt bisa saling bantu kaya gini",1.0
1776,@RicKY_KCh,"Soal UU Cipta Kerja, SBY: Kalau Masih Ada Konflik, Berarti Masih Ada Masalah
Kalau RUU masih ada masalah-masalah yang mungkin serius disahkan, hampir pasti begitu dijalankan nanti menimbulkan masalah yang lebih besar dan lebih luas.Soal UU Cipta Kerja, SBY: Kalau Masih Ada Konflik, Berarti Masih Ada Masalah
Menurut SBY, dalam pembuatan undang-undang, DPR dan pemerintah seharusnya membuka pintu dialog dan konsultasi bagi pihak-pihak yang menolaknya.
nasional.tempo.co",0.0
670,@faatur22,"Sementara pemerintah, mengklaim bahwa RUU Law Cipta Kerja memberikan manfaat bagi masyarakat. Atasi Pandemi
#RakyatButuhUUCiptaKerja",1.0
297,@DahOlip,di media sosial banyak netizen yang menghujat dan kecewa terhadap RUU Cipta kerja tersebut karena terlalu banyak berita hoax yang tersebar di media sosial. Fokus Kalahkan Pandemi #RakyatBersamaOmnibusLaw,1.0
804,@Ananda70463804,"Membalas 
@dadangrhsSaya kira penilaian ini sdh sangat jelas bahwa UU cipta kerja tdk pantas diajukan sbg RUU...masih kah akan dilanjutkan sbg acuan UU yg pantas direpublik ini......kasihan sekali negara ini.....",0.0
308,@ryuryu_jins,"Buka usaha baru harus izin dlu, dan RUU Cipta Kerja membawa manfaat #WBIndonesiaOpenForBusiness",1.0
594,@janitramulyaa,"Mungkin threat yang harus diwaspadai hanyalah apakah redaksi melalui UU tersebut dapat ditransisikan sebagai sebuah acceptable concept pada praktiknya. Selepas dari hal itu, konsep pada RUU Cipta Kerja merupakan nilai tambah dari landasan hukum Koperasi dan UMKM sebelumnya.",1.0
338,@_DukaAtuh_,"naskah RUU Cipta Kerja yang telah diberikan paraf oleh Airlangga dan Yasonna  akan disampaikan oleh Pratikno kepada Jokowi untuk mendapatkan pengesahan.
OmnibusLaw Mantap
#CiptaKerjaBermanfaat",1.0
1551,@TIARA2796,"Manfaat UU Ciptaker
Kesepakatan antara pengusaha, buruh serta pemerintah dinilai sebagai salah satu kunci RUU Cipta Kerja berjalan dgn maksimal.
Kesepakatan itu juga menjadi pegangan agar RUU Cipta Kerja bisa menjadi alat dlm meningkatkan ekonomi Indonesia  #StophoaxUUCiptaker",1.0
720,@HukumDan,"Tuduhan terhadap masyarakat, Mahasiswa, Buruh dan Aktifis menolak UU Ominbus law yg menimbulkan keonaran adalah tuduhan yg tidak beradasar. Bukankah keonaran itu timbul akibat Cacat Prosedural pengesahan RUU Cipta Kerja.?
Para ahli Hukum harusnya tau soal ini",0.0
1151,@wayahewayahee,"Political talk |

Dulu, si ""merah"" melalui ""anak wedok"" mengecam kenaikan bbm di jaman presiden dari partai ""biru"".

Now, si ""biru"" melalui ""anak lanang"" berpidato menolak ruu cipta kerja di jaman presiden dari partai ""merah"".

All presidents have legacy - Prof Salim Said",1.0
234,@KlimaAction,"Solidaritas Tanpa Batas 
#OmnibusLaw RUU CiptaKerja 
Siapa akan terkesan ? 

Dengarkan mengapa masyarakat sivil turun di jalanan ! 
http://fb.me/e/38oExsh9d
@KlimaAction
  
@350Indonesia
  
@Climaterangers_
  

#TolakOmnibusLaw 
#KeadilanIklim
#BangsaMahasiswa 
#Asia4Climate",0.0
651,@Lima8Satu,"Membalas 
@LILApama2011Sebenarnya justru BANYAK BANGET KEUNTUNGAN dari RUU Cipta Kerja yang justru memihak rakyat kecil.",1.0
144,@irrawardy,"ternyata RUU Cipta Kerja Dapat Pengakuan dari Bank Dunia, Editorial MI Video  17 Oktober 2020 08:36:51 Salah satu yang sangat signifikan datang dari lembaga keuangan terkemuka internasional, Bank Dunia.",1.0
1740,@AngetTehtawar,"Cukup cinta ku ditolak, RUU OMNIBUSLAW dan HAK CIPTA KERJA, JANGAN.

#OmnibusLaw #BuruhMenggugatUUCiptaKerja #TolakProvokasiHoaxOBL 
@jakartaakeras",1.0
1329,@_daRNo_,"Nurul Arifin juga mengatakan bahwa pembahasan RUU Cipta Kerja dilakukan secara Transparan dan sesuai dg Aturan yg berlaku 

#OmnibusLawTransparan #OmnibusLawTransparan",1.0
823,@bem_unpad,"[DISINFORMASI SERTA MISINFORMASI PRESIDEN DAN DPR]

Halo, Kema Unpad!

Masih hangat di ingatan ketika Presiden berbicara kepada media dan lewat akun pribadinya, mengatakan bahwa mereka yang menolak Omnibus Law RUU Cipta Kerja adalah misinformasi dan disinformasi.",1.0
230,@AchFath,"Dijawab tuntas bagaimana perjalanan sikap PKS terhadap RUU Cipta Kerja.
Semoga tidak ada lagi berita hoax tentang PKS terkait ini https://instagram.com/p/CGfUYopFyda/?igshid=1rl2sm4o62alt…",1.0
686,@dikunciiiiiii,"RUU Cipta Kerja Putus Rantai Mafia Birokrasi 

#Ciptaker
#Mafia
#OmnibusLawUntungkanBuruh",1.0
77,@TheaSajid,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya?

Sdhlah rapat larut mlm saat weekend demi sahnya RUU Cilaka ini, trnyata eh trnyata pimpinan DPR mengaku bhw dia slama ini hny mengecek scr acak draft final UU Cipta Kerja. Simak video d Channel MMC!",0.0
1679,@FitriaLilla,"Organisasi buruh lawan hoax Omnibus Law RUU Cipta Kerja #KadrunMakarTunggangiOBLTandatangani Petisi
#LawanHoaxOmnibusLaw RUU Cipta Kerja
change.org",1.0
1583,@utidewanti,"Mungkin pembahasan ruu cipta kerja itu kaya skripsi, ketok palu yg kemaren itu ibarat pendadaran, belum resmi-resmi banget lulusnya masih ada revisi dari penguji.",1.0
1030,@oreoregalll,"Membalas 
@AREAJULIDPermisi, maaf oot. Aku mau minta tolong adakah yang bersedia untuk mengisi form ini? Tentang Kontraversi RUU Cipta Kerja, terimakasih ya.
http://forms.gle/bKQx8sggGK7P67Jp7…",1.0
691,@vian_felix,"Membalas 
@k1k1taufik
 dan 
@MataNajwaMenyalahkan masyarakat +62 terkena HOAX, padahal pemerintahnya sendiri yg tertutup dan tidak terbuka soal Draft RUU Cipta Kerja. Kenapa Kemenkominfo membiarkan 12 draft palsu yg disebar katanya HOAX beredar dimedsos? Giliran sudah rusuh, baru bilang itu HOAX.",0.0
770,@syah102307,"Membalas 
@motizenchannelMasalah yg ini belum beres
 cepat cepat di ketok palu RUU CIPTAKERJA 
 ada apa ya???kawal terus",0.0
1338,@Dee_01984,"Setelah sebelum nya banyak Versi yang menyebutkan mengenai jumlah Naskah resmi RUU Cipta Kerja...Pimpinan 
@DPR_RI
 menegaskan bahwa Naskah Resmi RUU Cipta Kerja itu adalah 812 halaman...

#OmnibusLawTransparan",1.0
1779,@abu_waras,"Membalas 
@fadlizonKoq masih RUU Cipta Kerja?
Bukannya sudah disyahkan DPR?",1.0
1786,@Taudehh4,"Pelaku kerusuhan dalam aksi unjukrasa Omnibus Law RUU Cipta Kerja menurut polisi adalah orang-orang yang tergabung dalam kelompok Anarko.
#PancasilaYesDemoNoMengenal Sejarah Anarko, Kelompok yang Diduga jadi Dalang Kerusuhan Demo Omnibus Law UU Cipta Kerja...
Mengenal Sejarah Anarko, Kelompok yang Diduga jadi Dalang Kerusuhan Demo Omnibus Law UU Cipta Kerja
jogja.tribunnews.com",1.0
1157,@MataNajwa,"Grafis di atas menunjukkan pengubahan naskah RUU Cipta Kerja tidak hanya bersifat teknis sebagaimana diatur dalam UU No.12/2011 tentang Pembentukan Peraturan Perundang-Undangan dan perubahannya pada UU No.15/2019⁣.

#MataNajwaCiptaKerjaManaFaktaManaDusta",1.0
197,@PenjagaWajan,"Selain berpeluang membuka lapangan Kerja seluas-luasnya, RUU Cipta kerja melindungi para Pekerja Dari  PHK dan pengusaha wajib membayar pesangon masa Karna pada para pekerja
OmnibusLaw Top Abis
#PercayaCiptaKerja",1.0
1537,@farid_wajdi70,"Poinnya bagi media 
Ironisnya, media bahkan sangat minim memberitakan bagaimana omnibus law RUU Cipta Kerja akan membahayakan kebebasan pers dan kerja-kerja jurnalistik itu sendiriTweet Kutipan
Febri Diansyah
@febridiansyah
 · 13 Okt
Membalas @farid_wajdi70
menarik datanya ",1.0
1443,@wartakotalive,"Ini Alasan Ada Anggota DPR Tak Dapat Naskah RUU Cipta Kerja Saat Rapat Paripurna PengesahanIni Alasan Ada Anggota DPR Tak Dapat Naskah RUU Cipta Kerja Saat Rapat Paripurna Pengesahan - Warta...
Sebelumnya, sejumlah anggota dewan protes lantaran tidak mendapatkan naskah asli UU Cipta Kerja.
wartakota.tribunnews.com",1.0
1210,@LambeTani,"Coba dipahami lebih dalam terkait RUU Cipta Kerja yang membahas pertanian, disitu justru sangat membela petani, pemenuhan pangan nasional diprioritaskan dari hasil prod dalam negeri tul gak? 
@kementan
 #OmnibusLawPetaniSejahtera",1.0
254,@RustamIbrahim,"Meski ada pandemi, meski ada RUU Cipta Kerja, kepuasan terhadap Presiden Jokowi tetap tinggi. Malah naik dari 65% menjadi 68%Survei Indikator: Kepuasan Publik pada Jokowi Sedikit Naik pada September 2020
'Yang puas 68 persen, sedikit mengalami kenaikan dibanding bulan sebelumnya,' kata Burhanuddin Muhtadi.
nasional.kompas.com",1.0
1288,@Yubi666,"Semua fraksi sdh setuju bahas RUU Cipta Kerja , aneh aja setelah di sahkan jadi UU , koq ada fraksi / Parpol yg malah jegal ? 
Napa gk dri awal ? Ga komit  nech 
#OmnibusLawTransparan",1.0
86,@AZahiduddin,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMC

Demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja.Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",0.0
1424,@Mtuhasan02,"Membalas 
@pendakisolehSetuju mari kita dukung full RUU Cipta Kerja inih

#CegahKorupsiDenganOBL",1.0
415,@donipurnama_id,"Tau aah gelap oleh ruu cipta kerjaTweet Kutipan
Joko Widodo
@jokowi
 · 17 Okt
Selama vaksin dan obatnya belum ada, perisai paling ampuh untuk menghindar dari virus Covid-19 adalah mengenakan masker, menjaga jarak, dan menghindari kerumunan.

Masker melindungi Anda, keluarga, kerabat, dan orang-orang lain. Jangan pernah lalai mengenakannya.",0.0
762,@bripfths,"Banyak kali Pengalihan isu ditahun Corona ini. Belum Juga kelar masalah RUU Cipta kerja Yang masih Ngalor Ngidul, Yang sebentar lagi di Sahkan Presiden. Padahal Mayoritas masyarakat,Buruh Dan pekerja lainnya sangat keberatan dengan munculnya RUU Cipta Kerja.

Slide 1",0.0
537,@Fajaradi_N,"Di luar bahasan tentang aspek ketenagakerjaan dan lingkungan dalam RUU Cipta Kerja, gue akan menggarisbawahi penggunaan kata ""cacat"" dalam RUU Cipta Kerja yang bertentangan dengan UU Penyandang Disabilitas.",1.0
939,@sumarsih11,"RUU Cipta Kerja terjadi pelanggaran berat dalam proses legislasi. 

RUU Cipta Kerja yg akan ditandatangani Prsdn 
@jokowi
 sarat cacat (formal, material & moral).

Sampai jumpa 
@AksiKamisan
 di depan Istana Presiden setelah wabah virus korona tiada.",0.0
1677,@kompascom,"Ada tiga draf RUU Cipta Kerja yang beredar di publik. Antara draf yang satu dengan yang lain memiliki perbedaan.Membandingkan 3 Draf RUU Cipta Kerja: Ada Perbedaan Ketentuan Cuti, Upah, dan PHK
Ada tiga draf RUU Cipta Kerja yang beredar di publik. Antara draf yang satu dengan yang lain memiliki perbedaan.
nasional.kompas.com",1.0
182,@anwar_ahmad12,"SALAH KETIK FRASA PADA RUU CIPTA KERJA/OMNIBUS LAW?

Oleh: Chandra Purna Irawan,S.H.,M.H. (Ketua Eksekutif Nasional BHP KSHUMI &amp; Sekjen LBH PELITA UMAT)
  #UlamaDukungDespi 
. #SsyI4SALAH KETIK FRASA PADA RUU CIPTA KERJA/OMNIBUS LAW?
tintasiyasi.com",0.0
1305,@FPKSDPRRI,"QnA RUU Cipta Kerja

Izin mengkonfirmasi banyak berita beredar, benarkah PKS dibalik aksi unjuk rasa kemaren ?

#fraksipksdprri 
#berkhidmatuntukrakyat 
#pksawasikabinet 
#pkstolakOmnibuslaw 
#BatalkanCiptaker",1.0
1091,@superrsid,"Membalas 
@CNNIndonesiaJadi yang Punya draft RUU/UU Cipta kerja yg disahkan, jika bukan dari link resmi bisa di tuduh menyebarkan hoax.. 

ehh gimana sikk ",1.0
140,@kkpgoid,"#SahabatBahari, RUU Cipta Kerja juga menguntungkan di bidang komunikasi dan informasi. Salah satunya optimalisasi sumber daya. Simak poin pentingnya melalui infografis berikut yuk.

#KKP #KKPGOID  #OmnibusLawDemokrasiInformasi",1.0
40,@meinab_,"Ditengah sulitnya masa Covid-19 ini memang berbahaya sekali karena menimbulkan kematian, tapi yang lebih mematikan adalah jika RUU Cipta Kerja disahkan ditengah para fresh graduate khususnya generasi mendatang dan para buruh. 

#Etika4D #AkuntansiPolinema 
@AriKamayanti",0.0
1177,@Perilotus,"Jika Ingin Membaca Semua Rincian *UU Omnibus Law* Silakan ke Laman di Bawah ini Sbb :

*1. RUU Cipta Kerja (Baleg DPR PDF)*
http://dpr.go.id/dokakd/dokumen/BALEG-RJ-20200605-100224-2372.pdf…

*2. RUU Cipta Kerja (Google Drive PDF)*RUU Cipta Kerja.pdf
drive.google.com",1.0
