,user_account,tweet,label,tweet_clean,tweet_token,tf_dict
1059,@RahmaFathiyyah,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMC

Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini.",0,ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank puji serba serbi mmc kesah undang undang cipta kerja minggu rapat larut malam pekan sah rancang undang undang celaka,"['ketua', 'dewan', 'wakil', 'rakyat', 'draf', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'cek', 'acak', 'dunia', 'bank', 'puji', 'serba', 'serbi', 'mmc', 'kesah', 'undang', 'undang', 'cipta', 'kerja', 'minggu', 'rapat', 'larut', 'malam', 'pekan', 'sah', 'rancang', 'undang', 'undang', 'celaka']","{'ketua': 1, 'dewan': 1, 'wakil': 1, 'rakyat': 1, 'draf': 1, 'rancang': 2, 'undang': 6, 'cipta': 2, 'kerja': 2, 'cek': 1, 'acak': 1, 'dunia': 1, 'bank': 1, 'puji': 1, 'serba': 1, 'serbi': 1, 'mmc': 1, 'kesah': 1, 'minggu': 1, 'rapat': 1, 'larut': 1, 'malam': 1, 'pekan': 1, 'sah': 1, 'celaka': 1}"
222,@Mtuhasan02,"Membalas 
@Robert__MosesDukung RUU Cipta Kerja ini bagus utk memutus mata rantai jalur korupsi

#CegahKorupsiDenganOBL",1,balas rancang undang undang cipta kerja bagus putus mata rantai jalur korupsi,"['balas', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'bagus', 'putus', 'mata', 'rantai', 'jalur', 'korupsi']","{'balas': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'bagus': 1, 'putus': 1, 'mata': 1, 'rantai': 1, 'jalur': 1, 'korupsi': 1}"
921,@haytawantawan,"moots ada yang simpan penjelasan dan point point ruu cipta kerja kemarin itu ga? tapi dalam bahasa inggris

kalau ada bsa komen yaa makasiii",0,moots simpan jelas poin poin rancang undang undang cipta kerja kemarin bahasa inggris komentar ya makas,"['moots', 'simpan', 'jelas', 'poin', 'poin', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'kemarin', 'bahasa', 'inggris', 'komentar', 'ya', 'makas']","{'moots': 1, 'simpan': 1, 'jelas': 1, 'poin': 2, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'kemarin': 1, 'bahasa': 1, 'inggris': 1, 'komentar': 1, 'ya': 1, 'makas': 1}"
1455,@sofandi_arief,"Membalas 
@jokowiDengan disahkannya RUU CIPTA KERJA akan terwujud kesejahteraan rakyat Indonesia dan Indonesia Maju terwujud jua.",1,balas sah rancang undang undang cipta kerja wujud sejahtera rakyat indonesia indonesia maju wujud jua,"['balas', 'sah', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'wujud', 'sejahtera', 'rakyat', 'indonesia', 'indonesia', 'maju', 'wujud', 'jua']","{'balas': 1, 'sah': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'wujud': 2, 'sejahtera': 1, 'rakyat': 1, 'indonesia': 2, 'maju': 1, 'jua': 1}"
785,@arif1eca,"Hadirilah!
 DISKUSI AKTUAL 
Telaah Kritis UU Omnibus Law Cipta Kerja dan Solusi Islam

Ahad, 18 Oktober 2020
Pukul 08.00 -- selesai

Pengesahan Omnibus Law RUU Cipta Kerja pada Senin 5 Oktober lalu mendapat penolakan dari berbagai elemen masyarakat,",1,hadir diskusi aktual telaah kritis undang undang omnibus law cipta kerja solusi islam ahad oktober selesai kesah omnibus law rancang undang undang cipta kerja senin oktober tolak elemen masyarakat,"['hadir', 'diskusi', 'aktual', 'telaah', 'kritis', 'undang', 'undang', 'omnibus', 'law', 'cipta', 'kerja', 'solusi', 'islam', 'ahad', 'oktober', 'selesai', 'kesah', 'omnibus', 'law', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'senin', 'oktober', 'tolak', 'elemen', 'masyarakat']","{'hadir': 1, 'diskusi': 1, 'aktual': 1, 'telaah': 1, 'kritis': 1, 'undang': 4, 'omnibus': 2, 'law': 2, 'cipta': 2, 'kerja': 2, 'solusi': 1, 'islam': 1, 'ahad': 1, 'oktober': 2, 'selesai': 1, 'kesah': 1, 'rancang': 1, 'senin': 1, 'tolak': 1, 'elemen': 1, 'masyarakat': 1}"
1009,@TitikNol18,"Dalam RUU Cipta Kerja pekerja kontrak juga dapat pesangon

#UUCiptaKerja",1,rancang undang undang cipta kerja kerja kontrak sangon,"['rancang', 'undang', 'undang', 'cipta', 'kerja', 'kerja', 'kontrak', 'sangon']","{'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 2, 'kontrak': 1, 'sangon': 1}"
1008,@kang_mul19,"RUU Cipta Kerja dibahas melalui 64 kali rapat sejak 20 April - 3 Oktober 2020, yang mencakup 15 bab dan 174 pasal.

Khusus di Sektor Pertanahan, dibentuk Badan BANK TANAH yg akan melakukan Reforma Agraria dan redistribusi tanah kepada masyarakat.
@atr_bpn
#OmnibusLawTransparan",1,rancang undang undang cipta kerja bahas kali rapat april oktober cakup bab pasal khusus sektor tanah bentuk badan bank tanah reforma agraria redistribusi tanah masyarakat,"['rancang', 'undang', 'undang', 'cipta', 'kerja', 'bahas', 'kali', 'rapat', 'april', 'oktober', 'cakup', 'bab', 'pasal', 'khusus', 'sektor', 'tanah', 'bentuk', 'badan', 'bank', 'tanah', 'reforma', 'agraria', 'redistribusi', 'tanah', 'masyarakat']","{'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'bahas': 1, 'kali': 1, 'rapat': 1, 'april': 1, 'oktober': 1, 'cakup': 1, 'bab': 1, 'pasal': 1, 'khusus': 1, 'sektor': 1, 'tanah': 3, 'bentuk': 1, 'badan': 1, 'bank': 1, 'reforma': 1, 'agraria': 1, 'redistribusi': 1, 'masyarakat': 1}"
1505,@lailajeng_,"Omnibus law RUU Cipta Lapangan Kerja yang digagas pemerintah ini guna memperbaiki iklim usaha dan dunia tenaga kerja di Tanah Air. 
#OmnibusLawBuruhSejahtera",1,omnibus law rancang undang undang cipta lapang kerja gagas perintah baik iklim usaha dunia tenaga kerja tanah air,"['omnibus', 'law', 'rancang', 'undang', 'undang', 'cipta', 'lapang', 'kerja', 'gagas', 'perintah', 'baik', 'iklim', 'usaha', 'dunia', 'tenaga', 'kerja', 'tanah', 'air']","{'omnibus': 1, 'law': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'lapang': 1, 'kerja': 2, 'gagas': 1, 'perintah': 1, 'baik': 1, 'iklim': 1, 'usaha': 1, 'dunia': 1, 'tenaga': 1, 'tanah': 1, 'air': 1}"
444,@setankesayangan,"Membalas 
@deCasablancaaIkutan demo RUU Cipta Kerja juga ya ",1,balas demo rancang undang undang cipta kerja ya,"['balas', 'demo', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'ya']","{'balas': 1, 'demo': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'ya': 1}"
323,@anwar_ahmad12,"SALAH KETIK FRASA PADA RUU CIPTA KERJA/OMNIBUS LAW?

Oleh: Chandra Purna Irawan,S.H.,M.H. (Ketua Eksekutif Nasional BHP KSHUMI &amp; Sekjen LBH PELITA UMAT)
  #UlamaDukungDespi 
. #SsyI4SALAH KETIK FRASA PADA RUU CIPTA KERJA/OMNIBUS LAW?
tintasiyasi.com",0,salah ketik frasa rancang undang undang cipta kerja omnibus law chandra purna irawan s h m h ketua eksekutif nasional badan hukum didik kshumi sekjen pelita umat ketik frasa rancang undang undang cipta kerja omnibus law,"['salah', 'ketik', 'frasa', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'omnibus', 'law', 'chandra', 'purna', 'irawan', 's', 'h', 'm', 'h', 'ketua', 'eksekutif', 'nasional', 'badan', 'hukum', 'didik', 'kshumi', 'sekjen', 'pelita', 'umat', 'ketik', 'frasa', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'omnibus', 'law']","{'salah': 1, 'ketik': 2, 'frasa': 2, 'rancang': 2, 'undang': 4, 'cipta': 2, 'kerja': 2, 'omnibus': 2, 'law': 2, 'chandra': 1, 'purna': 1, 'irawan': 1, 's': 1, 'h': 2, 'm': 1, 'ketua': 1, 'eksekutif': 1, 'nasional': 1, 'badan': 1, 'hukum': 1, 'didik': 1, 'kshumi': 1, 'sekjen': 1, 'pelita': 1, 'umat': 1}"
1053,@imigrasiranai,"adan Legislasi (Baleg) 
@DPR_RI
 dan Pemerintah melakukan rapat perdana untuk membahas RUU Cipta Kerja pada tanggal 14 April 2020. Dalam rapat tersebut, Panitia Kerja (Panja) RUU Cipta Kerja resmi dibentuk
#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22",1,adan legislasi baleg perintah rapat perdana bahas rancang undang undang cipta kerja tanggal april rapat panitia kerja panitia kerja rancang undang undang cipta kerja resmi bentuk,"['adan', 'legislasi', 'baleg', 'perintah', 'rapat', 'perdana', 'bahas', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'tanggal', 'april', 'rapat', 'panitia', 'kerja', 'panitia', 'kerja', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'resmi', 'bentuk']","{'adan': 1, 'legislasi': 1, 'baleg': 1, 'perintah': 1, 'rapat': 2, 'perdana': 1, 'bahas': 1, 'rancang': 2, 'undang': 4, 'cipta': 2, 'kerja': 4, 'tanggal': 1, 'april': 1, 'panitia': 2, 'resmi': 1, 'bentuk': 1}"
373,@sbn_bejoo,"Dalam prosesnya RUU Cipta Kerja jg melewati masa diskusi publik diberbagai Universitas ternama di Indonesia guna mengkaji materi yg ada didalam RUU teb sdh sesuai apa blm.

#OmnibusLawTaatProsedural",1,proses rancang undang undang cipta kerja lewat diskusi publik bagai universitas nama indonesia kaji materi dalam rancang undang undang sesuai,"['proses', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'lewat', 'diskusi', 'publik', 'bagai', 'universitas', 'nama', 'indonesia', 'kaji', 'materi', 'dalam', 'rancang', 'undang', 'undang', 'sesuai']","{'proses': 1, 'rancang': 2, 'undang': 4, 'cipta': 1, 'kerja': 1, 'lewat': 1, 'diskusi': 1, 'publik': 1, 'bagai': 1, 'universitas': 1, 'nama': 1, 'indonesia': 1, 'kaji': 1, 'materi': 1, 'dalam': 1, 'sesuai': 1}"
574,@jiione04,"Pada sisi yang lain, Alfarisi mendorong pemerintah dan DPR segera mengesahkan RUU Omnibus Law Cipta Kerja (Ciptaker) karena dinilai dapat menjadi strategi dalam proses pemulihan pasca-pandemi.

Kalahkan Pandemi
#RakyatBersamaOmnibusLaw",1,sisi alfarisi dorong perintah dewan wakil rakyat kesah rancang undang undang omnibus law cipta kerja cipta kerja nilai strategi proses pulih pasca pandemi kalah pandemi,"['sisi', 'alfarisi', 'dorong', 'perintah', 'dewan', 'wakil', 'rakyat', 'kesah', 'rancang', 'undang', 'undang', 'omnibus', 'law', 'cipta', 'kerja', 'cipta', 'kerja', 'nilai', 'strategi', 'proses', 'pulih', 'pasca', 'pandemi', 'kalah', 'pandemi']","{'sisi': 1, 'alfarisi': 1, 'dorong': 1, 'perintah': 1, 'dewan': 1, 'wakil': 1, 'rakyat': 1, 'kesah': 1, 'rancang': 1, 'undang': 2, 'omnibus': 1, 'law': 1, 'cipta': 2, 'kerja': 2, 'nilai': 1, 'strategi': 1, 'proses': 1, 'pulih': 1, 'pasca': 1, 'pandemi': 2, 'kalah': 1}"
863,@charliakbar_id,"Membalas 
@BadarSallam_9Demo penolakan RUU Cipta Lapangan Kerja,dar.",0,balas tolak rancang undang undang cipta lapang kerja,"['balas', 'tolak', 'rancang', 'undang', 'undang', 'cipta', 'lapang', 'kerja']","{'balas': 1, 'tolak': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'lapang': 1, 'kerja': 1}"
6,@Mahadewi68,"Semangat utama RUU Cipta Kerja adalah menciptakan lapangan kerja untuk masyarakat yang belum mendapat pekerjaan.
#OmnibusLawUntungkanBuruhRUU Cipta Kerja Bantu Masyarakat Mencari Pekerjaan
Pemerintah mengatakan hadirnya RUU Cipta Kerja yang telah disahkan menjadi Undang-Undang membantu masyarakat mencari pekerjaan.
correcto.id",1,semangat utama rancang undang undang cipta kerja cipta lapang kerja masyarakat kerja cipta kerja bantu masyarakat cari kerja perintah hadir rancang undang undang cipta kerja sah undang undang bantu masyarakat cari kerja koreksi,"['semangat', 'utama', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'cipta', 'lapang', 'kerja', 'masyarakat', 'kerja', 'cipta', 'kerja', 'bantu', 'masyarakat', 'cari', 'kerja', 'perintah', 'hadir', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'sah', 'undang', 'undang', 'bantu', 'masyarakat', 'cari', 'kerja', 'koreksi']","{'semangat': 1, 'utama': 1, 'rancang': 2, 'undang': 6, 'cipta': 4, 'kerja': 7, 'lapang': 1, 'masyarakat': 3, 'bantu': 2, 'cari': 2, 'perintah': 1, 'hadir': 1, 'sah': 1, 'koreksi': 1}"
967,@denni_loyz,"4. Diajukan ke DPR 
~ Presiden menyampaikan RUU Cipta Kerja kpd Ketua DPR melalui Surat Presiden Nomer: R- 06/Pres/02/2020 tgl 7 Februari 2020.
~ Menko Perekonomian & Menteri terkait menyampaikan RUU kpd Ketua dan Wakil Ketua DPR tgl 12 Februari 2020.
#OmnibusLawTaatProsedural",1,aju dewan wakil rakyat presiden rancang undang undang cipta kerja ketua dewan wakil rakyat surat presiden nomor r pres tanggal februari menteri koordinator ekonomi menteri kait rancang undang undang ketua wakil ketua dewan wakil rakyat tanggal februari,"['aju', 'dewan', 'wakil', 'rakyat', 'presiden', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'ketua', 'dewan', 'wakil', 'rakyat', 'surat', 'presiden', 'nomor', 'r', 'pres', 'tanggal', 'februari', 'menteri', 'koordinator', 'ekonomi', 'menteri', 'kait', 'rancang', 'undang', 'undang', 'ketua', 'wakil', 'ketua', 'dewan', 'wakil', 'rakyat', 'tanggal', 'februari']","{'aju': 1, 'dewan': 3, 'wakil': 4, 'rakyat': 3, 'presiden': 2, 'rancang': 2, 'undang': 4, 'cipta': 1, 'kerja': 1, 'ketua': 3, 'surat': 1, 'nomor': 1, 'r': 1, 'pres': 1, 'tanggal': 2, 'februari': 2, 'menteri': 2, 'koordinator': 1, 'ekonomi': 1, 'kait': 1}"
1753,@oreoregalll,"Membalas 
@AREAJULIDAku lagi butuh banyak responden tentang Kontraversi RUU Cipta Kerja, adakah yang bersedia untuk mengisi? Ini linknya ya, terimakasih ya. http://forms.gle/bKQx8sggGK7P67Jp7…",1,balas butuh responden kontraversi rancang undang undang cipta kerja ada sedia isi link ya terima kasih ya,"['balas', 'butuh', 'responden', 'kontraversi', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'ada', 'sedia', 'isi', 'link', 'ya', 'terima', 'kasih', 'ya']","{'balas': 1, 'butuh': 1, 'responden': 1, 'kontraversi': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'ada': 1, 'sedia': 1, 'isi': 1, 'link': 1, 'ya': 2, 'terima': 1, 'kasih': 1}"
1661,@iamjokodotcom,"Membalas 
@alifiuzDraft RUU cipta kerja revisi insyaAllah fix jangan revisi ya Allah aamiin",1,balas rancang undang undang cipta kerja revisi insya allah revisi ya allah amin,"['balas', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'revisi', 'insya', 'allah', 'revisi', 'ya', 'allah', 'amin']","{'balas': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'revisi': 2, 'insya': 1, 'allah': 2, 'ya': 1, 'amin': 1}"
572,@ReggyDio,"Mengesahkan RUU ""Cipta Kerja"",
Membuka Kotak Pandora Izin Lingkungan?

Izin Lingkungan yang sekarang dipegang oleh Pemerintah Pusat adalah sebuah problematika baru dari (upaya?) memecahkan problematika lama.

1. Thread.",0,kesah rancang undang undang cipta kerja buka kotak pandora izin lingkung izin lingkung pegang perintah pusat problematika upaya pecah problematika utas,"['kesah', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'buka', 'kotak', 'pandora', 'izin', 'lingkung', 'izin', 'lingkung', 'pegang', 'perintah', 'pusat', 'problematika', 'upaya', 'pecah', 'problematika', 'utas']","{'kesah': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'buka': 1, 'kotak': 1, 'pandora': 1, 'izin': 2, 'lingkung': 2, 'pegang': 1, 'perintah': 1, 'pusat': 1, 'problematika': 2, 'upaya': 1, 'pecah': 1, 'utas': 1}"
1615,@eduandoo,"Dlm pasal 79 RUU Cipta Kerja pengusaha wajib memberikan cuti panjang yg diatur dlm perjanjian kerja, peraturan perusahaan, atau perjanjian kerja bersama!

#CiptaKerjaBangunBangsa",1,pasal rancang undang undang cipta kerja usaha wajib cuti atur janji kerja atur usaha janji kerja,"['pasal', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'usaha', 'wajib', 'cuti', 'atur', 'janji', 'kerja', 'atur', 'usaha', 'janji', 'kerja']","{'pasal': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 3, 'usaha': 2, 'wajib': 1, 'cuti': 1, 'atur': 2, 'janji': 2}"
