,user_account,label,tweet,tweet_clean,tweet_token,tf_dict
470,@auliacha26,0,"Duh udah situasi ekonomi susah dilanjut dgn RUU cipta kerja  yg blm dijelaskan kepada buruh2 dan masyarakat kok bapa mlh pergi kesana pdhl lagi demo loh seharusnya menenangkan masyarakatnya pak ,kasihan pak bnyk korban yg diprovokasi dngn oknum kgk jelas #OmnibusLawTurunkanJokowi",aduh situasi ekonomi susah lanjut rancang undang undang cipta kerja masyarakat pergi demo tenang masyarakat kasihan korban provokasi oknum kagak,"['aduh', 'situasi', 'ekonomi', 'susah', 'lanjut', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'masyarakat', 'pergi', 'demo', 'tenang', 'masyarakat', 'kasihan', 'korban', 'provokasi', 'oknum', 'kagak']","{'aduh': 1, 'situasi': 1, 'ekonomi': 1, 'susah': 1, 'lanjut': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'masyarakat': 2, 'pergi': 1, 'demo': 1, 'tenang': 1, 'kasihan': 1, 'korban': 1, 'provokasi': 1, 'oknum': 1, 'kagak': 1}"
1126,@Dee_01984,1,"Jadi bukan lembaga pemberantasan Korupsi yang di lemahkan dengan ada nya RUU Cipta Kerja....melainkan para Mafia pelaku korupsi...

#OmnibusLawBasmiKorupsi",lembaga berantas korupsi lemah rancang undang undang cipta kerja mafia laku korupsi,"['lembaga', 'berantas', 'korupsi', 'lemah', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'mafia', 'laku', 'korupsi']","{'lembaga': 1, 'berantas': 1, 'korupsi': 2, 'lemah': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'mafia': 1, 'laku': 1}"
163,@SonoraFM92,1,"SBY mengungkapkan alasan Partai Demokrat menolak pengesahan RUU Cipta Kerja menjadi undang-undang. http://dlvr.it/RjSsWR

#BeritaSonora via 
@kompascomSBY Jelaskan Alasan Partai Demokrat Tolak Pengesahan RUU Cipta Kerja
SBY mengungkapkan alasan Partai Demokrat menolak pengesahan RUU Cipta Kerja menjadi undang-undang.
nasional.kompas.com",susilo bambang yudhoyono alas partai demokrat tolak kesah rancang undang undang cipta kerja undang undang,"['susilo', 'bambang', 'yudhoyono', 'alas', 'partai', 'demokrat', 'tolak', 'kesah', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'undang', 'undang']","{'susilo': 1, 'bambang': 1, 'yudhoyono': 1, 'alas': 1, 'partai': 1, 'demokrat': 1, 'tolak': 1, 'kesah': 1, 'rancang': 1, 'undang': 4, 'cipta': 1, 'kerja': 1}"
369,@GeloraDpdJakSel,1,"BIN Sebut Tahu Dalang Demo Penolakan RUU Cipta Kerja ke Publik, Fahri Hamzah : Tidak Boleh, Please!BIN Sebut Tahu Dalang Demo Penolakan RUU Cipta Kerja ke Publik, Fahri Hamzah : Tidak Boleh, Please!
JAKARTA (Liputan) - Demonstrasi masa penolak RUU Cipta Kerja alias Omnibus Law yang disahkan DPR pada 5 Okotber 2020 yang berakhir ricuh,...
gelorajaksel.id",bin dalang demo tolak rancang undang undang cipta kerja publik fahri hamzah tolong bin dalang demo tolak rancang undang undang cipta kerja publik fahri hamzah tolong jakarta liput demonstrasi tolak rancang undang undang cipta kerja alias omnibus law sah dewan wakil rakyat oktober ricuh gelora jakarta selatan,"['bin', 'dalang', 'demo', 'tolak', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'publik', 'fahri', 'hamzah', 'tolong', 'bin', 'dalang', 'demo', 'tolak', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'publik', 'fahri', 'hamzah', 'tolong', 'jakarta', 'liput', 'demonstrasi', 'tolak', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'alias', 'omnibus', 'law', 'sah', 'dewan', 'wakil', 'rakyat', 'oktober', 'ricuh', 'gelora', 'jakarta', 'selatan']","{'bin': 2, 'dalang': 2, 'demo': 2, 'tolak': 3, 'rancang': 3, 'undang': 6, 'cipta': 3, 'kerja': 3, 'publik': 2, 'fahri': 2, 'hamzah': 2, 'tolong': 2, 'jakarta': 2, 'liput': 1, 'demonstrasi': 1, 'alias': 1, 'omnibus': 1, 'law': 1, 'sah': 1, 'dewan': 1, 'wakil': 1, 'rakyat': 1, 'oktober': 1, 'ricuh': 1, 'gelora': 1, 'selatan': 1}"
1570,@RMOLOfficial,1,"Didi Irawadi: Tidak Ada Selembar Pun Naskah RUU Ciptaker Dibagikan Saat Paripurna https://politik.rmol.id/read/2020/10/08/455598/didi-irawadi-tidak-ada-selembar-pun-naskah-ruu-ciptaker-dibagikan-saat-paripurna… #RUUCiptaKerjaDidi Irawadi: Tidak Ada Selembar Pun Naskah RUU Ciptaker Dibagikan Saat Paripurna
Rapat paripurna DPR yang mengesahkan UU Cipta Kerja pada 5 Oktober lalu dinilai janggal oleh anggota DPR dari Fraksi Partai
politik.rmol.id",didi irawadi lembar naskah rancang undang undang cipta kerja bagi paripurna,"['didi', 'irawadi', 'lembar', 'naskah', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'bagi', 'paripurna']","{'didi': 1, 'irawadi': 1, 'lembar': 1, 'naskah': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'bagi': 1, 'paripurna': 1}"
1046,@EdiKeceput,1,"Menkominfo: Naskah Final UU Cipta Kerja Dipublikasikan Setelah Jadi Lembaran Negara

===
Pak 
@PlateJohnny
,  angt DPR yg membahas RUU CK (OL) menegaskan di TV, saat sidang paripurna tidak ada draft/naskah RUU, lalu apa yg dibahas & diputus ?
===Menkominfo: Naskah Final UU Cipta Kerja Dipublikasikan Setelah Jadi Lembaran Negara
Kompas.com - Menteri Komunikasi dan Informatika (Menkominfo) Johnny G. Plate memimpin Rapat Koordinasi dengan Dinas Komunikasi dan Informatika tingkat provinsi se-Indonesia
babe.news",menteri komuninkasi informatika naskah final undang undang cipta kerja publikasi lembar negara anggota dewan wakil rakyat bahas rancang undang undang ol televisi sidang paripurna draf naskah rancang undang undang bahas putus menteri komuninkasi informatika naskah final undang undang cipta kerja publikasi lembar negara menteri komunikasi informatika menteri komuninkasi informatika johnny g plate pimpin rapat koordinasi dinas komunikasi informatika tingkat provinsi indonesia ayah news,"['menteri', 'komuninkasi', 'informatika', 'naskah', 'final', 'undang', 'undang', 'cipta', 'kerja', 'publikasi', 'lembar', 'negara', 'anggota', 'dewan', 'wakil', 'rakyat', 'bahas', 'rancang', 'undang', 'undang', 'ol', 'televisi', 'sidang', 'paripurna', 'draf', 'naskah', 'rancang', 'undang', 'undang', 'bahas', 'putus', 'menteri', 'komuninkasi', 'informatika', 'naskah', 'final', 'undang', 'undang', 'cipta', 'kerja', 'publikasi', 'lembar', 'negara', 'menteri', 'komunikasi', 'informatika', 'menteri', 'komuninkasi', 'informatika', 'johnny', 'g', 'plate', 'pimpin', 'rapat', 'koordinasi', 'dinas', 'komunikasi', 'informatika', 'tingkat', 'provinsi', 'indonesia', 'ayah', 'news']","{'menteri': 4, 'komuninkasi': 3, 'informatika': 5, 'naskah': 3, 'final': 2, 'undang': 8, 'cipta': 2, 'kerja': 2, 'publikasi': 2, 'lembar': 2, 'negara': 2, 'anggota': 1, 'dewan': 1, 'wakil': 1, 'rakyat': 1, 'bahas': 2, 'rancang': 2, 'ol': 1, 'televisi': 1, 'sidang': 1, 'paripurna': 1, 'draf': 1, 'putus': 1, 'komunikasi': 2, 'johnny': 1, 'g': 1, 'plate': 1, 'pimpin': 1, 'rapat': 1, 'koordinasi': 1, 'dinas': 1, 'tingkat': 1, 'provinsi': 1, 'indonesia': 1, 'ayah': 1, 'news': 1}"
1472,@MalvaSelena,1,"Viral buku RUU Cipta Kerja (entah benar/salah) semua menyangsikan Pak Jokowi sdh membaca semua tp gmn dgn yg demo trus bentrok sm aparat & merusak fasum?
Apakah mereka jg sdh membaca semua isi bukunya smpe hrs korbanin duit bermilyar2 akibat kerusakan yg ditimbulkan akibat demo?",viral buku rancang undang undang cipta kerja salah sangsi jokowi baca demo bentrok aparat rusak fasilitas baca isi buku korban duit akibat rusa timbul akibat demo,"['viral', 'buku', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'salah', 'sangsi', 'jokowi', 'baca', 'demo', 'bentrok', 'aparat', 'rusak', 'fasilitas', 'baca', 'isi', 'buku', 'korban', 'duit', 'akibat', 'rusa', 'timbul', 'akibat', 'demo']","{'viral': 1, 'buku': 2, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'salah': 1, 'sangsi': 1, 'jokowi': 1, 'baca': 2, 'demo': 2, 'bentrok': 1, 'aparat': 1, 'rusak': 1, 'fasilitas': 1, 'isi': 1, 'korban': 1, 'duit': 1, 'akibat': 2, 'rusa': 1, 'timbul': 1}"
341,@detikfinance,1,"""Pengusaha pada umumnya memang terkejut oleh keberanian pemerintah mengajukan RUU Cipta Kerja itu,"" kata Dahlan.Dahlan Iskan: Pengusaha Terkejut Pemerintah Ajukan RUU Cipta Kerja
""Pengusaha pada umumnya memang terkejut oleh keberanian pemerintah mengajukan RUU Cipta Kerja itu,"" kata Dahlan.
finance.detik.com",usaha kejut berani perintah aju rancang undang undang cipta kerja dahlan dahlan iskan usaha kejut perintah aju rancang undang undang cipta kerja usaha kejut berani perintah aju rancang undang undang cipta kerja dahlan uang,"['usaha', 'kejut', 'berani', 'perintah', 'aju', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'dahlan', 'dahlan', 'iskan', 'usaha', 'kejut', 'perintah', 'aju', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'usaha', 'kejut', 'berani', 'perintah', 'aju', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'dahlan', 'uang']","{'usaha': 3, 'kejut': 3, 'berani': 2, 'perintah': 3, 'aju': 3, 'rancang': 3, 'undang': 6, 'cipta': 3, 'kerja': 3, 'dahlan': 3, 'iskan': 1, 'uang': 1}"
1573,@CNNIDdaily,0,"Pagar kawat berduri yang dipasang polisi untuk menghadang pengunjuk rasa tolak RUU Cipta Kerja di Kota Palu justru melukai 2 orang ibu.
-
VIDEO: Dua Ibu-Ibu di Palu Tersangkut Pagar Kawat BerduriVIDEO: Dua Ibu-Ibu di Palu Tersangkut Pagar Kawat Berduri
Pagar kawat berduri yang dipasang polisi untuk menghadang pengunjuk rasa tolak RUU Cipta Kerja di Kota Palu justru melukai 2 orang ibu.
cnnindonesia.com",pagar kawat dur pasang polisi menghadang unjuk tolak rancang undang undang cipta kerja kota palu luka orang video palu sangkut pagar kawat dur video palu sangkut pagar kawat dur pagar kawat dur pasang polisi menghadang unjuk tolak rancang undang undang cipta kerja kota palu luka orang,"['pagar', 'kawat', 'dur', 'pasang', 'polisi', 'menghadang', 'unjuk', 'tolak', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'kota', 'palu', 'luka', 'orang', 'video', 'palu', 'sangkut', 'pagar', 'kawat', 'dur', 'video', 'palu', 'sangkut', 'pagar', 'kawat', 'dur', 'pagar', 'kawat', 'dur', 'pasang', 'polisi', 'menghadang', 'unjuk', 'tolak', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'kota', 'palu', 'luka', 'orang']","{'pagar': 4, 'kawat': 4, 'dur': 4, 'pasang': 2, 'polisi': 2, 'menghadang': 2, 'unjuk': 2, 'tolak': 2, 'rancang': 2, 'undang': 4, 'cipta': 2, 'kerja': 2, 'kota': 2, 'palu': 4, 'luka': 2, 'orang': 2, 'video': 2, 'sangkut': 2}"
651,@Ayu58903474,1,"Mewaspadai Hoax RUU CIPTA KERJA

#hindarihoax
#lindungiciptaker
#percayajokowi",waspada hoax rancang undang undang cipta kerja,"['waspada', 'hoax', 'rancang', 'undang', 'undang', 'cipta', 'kerja']","{'waspada': 1, 'hoax': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1}"
12,@AthayaHayya,1,"2. Disampaikan ke Presiden

Ratas Presiden : 
RUU Omnibus Law Cipta Kerja masuk Tahap Finalisasi, 15 jan 2020

#OmnibusLawTaatProsedural",presiden rapat batas presiden rancang undang undang omnibus law cipta kerja masuk tahap final jan,"['presiden', 'rapat', 'batas', 'presiden', 'rancang', 'undang', 'undang', 'omnibus', 'law', 'cipta', 'kerja', 'masuk', 'tahap', 'final', 'jan']","{'presiden': 2, 'rapat': 1, 'batas': 1, 'rancang': 1, 'undang': 2, 'omnibus': 1, 'law': 1, 'cipta': 1, 'kerja': 1, 'masuk': 1, 'tahap': 1, 'final': 1, 'jan': 1}"
1540,@KemnakerRI,1," Siaran Langsung 
  

""Sosialisasi RUU Cipta Kerja Klaster Ketenagakerjaan""
@jokowi
@Kiyai_MarufAmin
@setkabgoid
@anwsanusi[LIVE] SOSIALISASI RUU CIPTA KERJA KLASTER KETENAGAKERJAAN
youtube.com",siar langsung sosialisasi rancang undang undang cipta kerja kluster ketenagakerjaan live sosialisasi rancang undang undang cipta kerja kluster ketenagakerjaan,"['siar', 'langsung', 'sosialisasi', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'kluster', 'ketenagakerjaan', 'live', 'sosialisasi', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'kluster', 'ketenagakerjaan']","{'siar': 1, 'langsung': 1, 'sosialisasi': 2, 'rancang': 2, 'undang': 4, 'cipta': 2, 'kerja': 2, 'kluster': 2, 'ketenagakerjaan': 2, 'live': 1}"
1184,@eLHurryKoRn,1,"Dahsyatnya RUU Cipta Kerja, 153 Perusahaan Asing Siap Bawa Duit Segepok ke Indonesia

MENURUT KALIAN KALO GINI UU DITERIMA APA DITOLAK??Dahsyatnya RUU Cipta Kerja, 153 Perusahaan Asing Siap Bawa Duit Segepok ke Indonesia
industry.co.id - - Jakarta - Badan Koordinasi Penanaman Modal (BKPM) mencatat pasca pengesahan Undang-Undang Cipta Kerja (Ciptaker) terdapat 153 perusahaan asing yang siap menan
babe.news",dahsyat rancang undang undang cipta kerja usaha asing bawa duit gepok indonesia gin undang undang terima tolak dahsyat rancang undang undang cipta kerja usaha asing bawa duit gepok indonesia industri jakarta badan koordinasi tanam modal catat pasca kesah undang undang cipta kerja cipta kerja usaha asing nan ayah news,"['dahsyat', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'usaha', 'asing', 'bawa', 'duit', 'gepok', 'indonesia', 'gin', 'undang', 'undang', 'terima', 'tolak', 'dahsyat', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'usaha', 'asing', 'bawa', 'duit', 'gepok', 'indonesia', 'industri', 'jakarta', 'badan', 'koordinasi', 'tanam', 'modal', 'catat', 'pasca', 'kesah', 'undang', 'undang', 'cipta', 'kerja', 'cipta', 'kerja', 'usaha', 'asing', 'nan', 'ayah', 'news']","{'dahsyat': 2, 'rancang': 2, 'undang': 8, 'cipta': 4, 'kerja': 4, 'usaha': 3, 'asing': 3, 'bawa': 2, 'duit': 2, 'gepok': 2, 'indonesia': 2, 'gin': 1, 'terima': 1, 'tolak': 1, 'industri': 1, 'jakarta': 1, 'badan': 1, 'koordinasi': 1, 'tanam': 1, 'modal': 1, 'catat': 1, 'pasca': 1, 'kesah': 1, 'nan': 1, 'ayah': 1, 'news': 1}"
459,@dwiarii89,1,"Tolong untuk bapak DPR yang terhormat hapus RUU ciptakerja,
Kasihan temen saya yang kerja di pabrik, kalau gajinya kecil mereka gabisa sombong lagi..",tolong dewan wakil rakyat hormat hapus rancang undang undang cipta kerja kasihan teman kerja pabrik gaji sombong,"['tolong', 'dewan', 'wakil', 'rakyat', 'hormat', 'hapus', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'kasihan', 'teman', 'kerja', 'pabrik', 'gaji', 'sombong']","{'tolong': 1, 'dewan': 1, 'wakil': 1, 'rakyat': 1, 'hormat': 1, 'hapus': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 2, 'kasihan': 1, 'teman': 1, 'pabrik': 1, 'gaji': 1, 'sombong': 1}"
1150,@NyiMasRuminah,0,"cuman orang kecil lagi yg ditangkap karena sebar hoax RUU cipta kerja.Kenapa dalang Demo, Demo yg berakibat perusakan (melanggar hukum),yg bayar Demo tidak diusut Sampai tuntas? Apakah begini penegakan hukum di Indonesia. Saya kecewa ! 
@DivHumas_Polri
 @jokowi
 @mohmahfudmd",cuman orang tangkap sebar hoax rancang undang undang cipta kerja dalang demo demo akibat rusa langgar hukum bayar demo usut tuntas tega hukum indonesia kecewa,"['cuman', 'orang', 'tangkap', 'sebar', 'hoax', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'dalang', 'demo', 'demo', 'akibat', 'rusa', 'langgar', 'hukum', 'bayar', 'demo', 'usut', 'tuntas', 'tega', 'hukum', 'indonesia', 'kecewa']","{'cuman': 1, 'orang': 1, 'tangkap': 1, 'sebar': 1, 'hoax': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'dalang': 1, 'demo': 3, 'akibat': 1, 'rusa': 1, 'langgar': 1, 'hukum': 2, 'bayar': 1, 'usut': 1, 'tuntas': 1, 'tega': 1, 'indonesia': 1, 'kecewa': 1}"
