from;to
anarchy;anarki
anarkhisme;anarkisme
anarko;anarki
anc;xyz
ancele;xyz
ancen;emang
anchor;hancur
ancur;hancur
ancurin;hancur
and;dan
andaikata;andai kata
andal;handal
andasaat;anda saat
andatak;anda tak
andatolak;anda tolak
ane;saya
aneeh;aneh
anehtweet;aneh tweet
anfalk;xyz
angakt;angkatan
angaran;anggaran
angeel;susah
angel;susah
anger;xyz
anget;hangat
anggauta;anggota
anggep;anggap
angger;tetap
anggta;anggota
angjat;xyz
angkane;angka
angkut;angkut
angkutin;angkut
angon;menggembala
angota;anggota
angt;anggota
anj;anjing
anjeer;anjir
anjenk;anjing
anjg;anjing
anjiiing;anjing
anjim;anjim
anjimm;anjim
anjin;anjim
anjngtweet;anjing tweet
anjr;anjir
anjrit;anjir
ank;xyz
anlovebird;xyz
annisaapa;annisa apa
announcement;pengumuman
another;lain
anrkis;anarkis
ansua;xyz
answer;menjawab
antarkementerian;antar kementrian
antipemerintah;anti pemerintah
antum;kamu
any;apa saja
anyar;baru
anybody;siapa saja
anyone;siapa saja
anyway;bagaimanapun
ap;apa
apaa;apa
apaansih;apa
apah;apa
apakabar;apa kabar
apakh;apakah
apalahi;apa
apalg;apa lagi
apalgi;apa lagi
apasih;apa
apaya;apa
ape;apa
apeksi;apa
apersi;xyz
aphtn;xyz
apkh;apakah
aplg;apa lagi
apo;apa
apologize;minta maaf
appears;muncul
applikasi;aplikasi
appun;apapun
apr;xyz
aq;saya
ar;xyz
arb;xyz
ard;xyz
are;xyz
argama;agama
argo;argometer
argument;argumen
arguments;argumen
arkandiptyobagaimana;arkan diptyo bagaimana
around;sekitar
arreal;nyata
arsenalkolis;xyz
art;seni
artificial;buatan
artist;artis
as;xyz
asatunews;xyz
asbun;asal bunyi
aseli;asli
aseng;asing
asfafdsg;xyz
ashar;asar
asik;asyik
asiknya;asyik
asingruu;asing rancangan undang undang
ask;bertanya
asked;tanya
asking;meminta
aslam;xyz
aslina;asli
asline;asli
asn;aparatur sipil negara
asramah;asrama
assalamualaikum;asalamualaikum
assembly;majelis
assigned;ditugaskan
asstweet;xyz
assume;asumsi
assuming;asumsi
astaghfirullah;astagfirullah
astaghfirullahaladzim;astagfirullah
asutweet;asu tweet
asuu;asu
asww;asu
at;xyz
atal;xyz
ateez;xyz
ati;hati
atim;xyz
atlit;atlet
atmasasita;atmasasmita
ato;xyz
atot;xyz
atr;xyz
atrbpntweet;atrbpn tweet
ats;atas
attention;perhatian
atu;xyz
atuh;xyz
atunya;xyz
aturannurul;aturan nurul
atw;atau
au;xyz
auk;xyz
author;penulis
aw;xyz
awake;awak
aware;sadar
awareness;kesadaran
away;jauh
awe;xyz
awi;xyz
awiek;xyz
awkdewe;diri sendiri
awkmu;awak
awkwkwkwk;xyz
awlnya;awal
awm;xyz
awokawokawok;xyz
ay;xyz
aya;ada
aye;xyz
ayok;ayo
ayolebihbaik;ayo lebih baik
ayom;xyz
ayoo;ayo
ayt;ayat
az;saja
aza;saja
azas;asas
ba;xyz
babah;baba
babe;ayah
babeh;ayah
bablas;lenyap
bacain;baca
bacarrat;baca
back;kembali
backfired;menjadi bumerang
background;latar belakang
baco;bacot
bacottt;bacot
bad;buruk
badjingan;bajingan
bae;xyz
bag;tas
bagaiamana;bagaimana
bagaiman;bagaimana
bagana;xyz
bagia;bagian
bagiin;bagi
bagikanberita;bagikan berita
bagir;bagi
bagu;bagus
bah;xyz
bah;xyz
bahagiain;bahagia
bahasane;bahasa
bahasanye;bahasa
bahwasannya;bahwasanya
baii;xyz
baikbaik;baik baik
bajet;uang
bakmie;bakmi
bakool;bakul
balairungpress;xyz
bales;balas
balikin;balik
bamb;bambu
bambanggg;bambang
bambankk;bambang
bamsoet;bambang soesatyo
bamus;badan musyawarah
bandaacehkota;banda aceh kota
bandarq;bandara
bandingin;bandingkan
banfaat;manfaat
bangat;banget
bangett;banget
bangettt;banget
bangettweet;banget tweet
banggain;bangga
bangsaaat;bangsat
bangsad;bangsat
bangunbangsasurvei;bangun bangsa survei
banjarmasijmn;banjarmasin
banpres;bantuan presiden
bansos;bantuan sosial
bantentolak;banten tolak
bantuin;bantu
bany;banyak
banya;banyak
banyakin;banyak
banyakk;banyak
banyaknyamenaker;banyaknya menteri ketanagakerjaan
bapa;bapak
bapak;bapak
baperan;baper
bappenas;badan perencanaan pembangunan nasional
baranewsaceh;baranews aceh
baratihsg;xyz
barengg;bareng
bareskrim;badan reserse kriminal kepolisian negara republik indonesia
barokah;berkah
barokahe;berkah
barusan;baru
barut;baru
basic;dasar
basically;pada dasarnya
basketball;bola basket
bass;bas
bat;xyz
batalakan;batalkan
batalin;batalkan
batalyon;batalion
batola;xyz
batubara;batu bara
bawahmoment;bawah momen
bayak;banyak
bayangin;bayangkan
bayangkann;bayangkan
bayangkn;bayangkan
bayo;xyz
bb;xyz
bbagai;berbagai
bbm;bahan bakar minyak
bbrapa;beberapa
bbrp;beberapa
bbygi;xyz
bc;xyz
bcs;xyz
bct;bacot
bdh;xyz
bdw;xyz
be;xyz
bearti;berarti
beb;sayang
bebbb;sayang
bebenang;benang
beberes;berkemas
beberpa;beberapa
became;menjadi
becanda;bercanda
because;karena
bedain;beda
bedarah;berdarah
bedas;pedas
bedo;bodoh
bee;xyz
been;xyz
before;telah
begadang;bergadang
beginilan;begini
begit;begitu
bego;bodoh
begt;begitu
begtu;begitu
behalf;kepentingan
behavour;tingkah laku
behind;dibelakang
behindnya;dibelakang
bei;xyz
being;xyz
bek;xyz
bekerjasama;kerja sama
belajarhasil;belajar hasil
belakanggif;belakang
beleid;kebijakan
belian;beli
believe;percaya
beliin;beli
belim;beli
beliu;beliau
beljar;belajar
below;di bawah
bemnus;bem nus
ben;xyz
benartweet;benar tweet
benas;benar
bene;xyz
benefits;benefit
bener;benar
beneran;benar
beneranfix;benar fix
benerin;benar
benerinnya;benar
benernya;benar
bengkalismahasiswa;bengkalis mahasiswa
bengkalistolak;bengkalis tolak
bengkit;bangkit
bengkuludraf;bengkulu draf
bengkulupenyebar;bengkulu penyebar
bengkulutelaah;bengkulu telah
bentrokhindari;bentrok hindari
benyak;banyak
ber;xyz
beradasar;berdasar
beragumen;berargumen
berakhirseribu;berkakhir seribu
berakhirsimak;berkakhir simak
beraktifitas;beraktivitas
beramairamai;beramai ramai
beranta;berantas
berbahayaugm;berbahaya ugm
berbgai;berbagai
berdemostrasi;berdemonstrasi
berdo;xyz
berdurivideo;berduri video
berfikir;berpikir
berfikiran;berpikiran
berfikit;berpikir
berhianat;berkhianat
beril;beri
beritabeta;berita beta
beritaidn;berita idn
beritain;berita
beritajabar;berita jawa barat
berkmbang;berkembang
berkordinasi;berkoordinasi
bermashlahat;maslahat
bermedsos;bermedia sosial
berniemhmmd;xyz
bersam;bersama
bersamarakyat;bersama rakyat
bersihin;bersih
bersitegang;bersih tegang
bersliweran;seliweran 
bersmbunyi;bersembunyi
berstatemen;pernyataan
bersuratpenuhi;bersurat penuh
bertanggungjawab;bertanggung jawab
bertgg;xyz
berujungruu;berujung rancangan undang undang
beruta;xyz
berwirausaha;wirausaha
besokwaktu;besok waktu
besran;besar
best;terbaik
bet;xyz
better;lebih baik
betulin;betulkan
between;antara
beu;xyz
beuki;suka
beut;banget
bewarakita;bewara kita
bey;xyz
beye;xyz
beyond;luar
bfr;xyz
bg;banget
bgaimana;bagaimana
bgini;begini
bgm;bagaimana
bgmana;bagaimana
bgmn;bagaimana
bgn;begini
bgni;begini
bgst;bangsat
bgstt;bangsat
bgt;banget
bgtu;begitu
bgus;bagus
bhasa;bahasa
bhinnekatunggalika;bhinneka tunggal ika
bhp;badan hukum pendidikan
bhruh;xyz
bhs;bahas
bhw;bahwa
bhwa;bahwa
bhwanya;bahwa
biarin;biar
biarpun;biar
biasah;biasa
biasany;biasa
bib;xyz
bicit;bacot
big;besar
bigimana;bagaimana
bigos;biang gosip
bikinisu;bikin
bikinn;bikin
bikos;karena
bikpal;buat kesel
bilangin;bilang
bilek;jadilah seperti
bilekk;jadilah seperti
bilven;xyz
binggung;bingung
bingugkan;bingung
bingungin;bingung
binluh;pembinaan dan penyuluhan
bis;bisa
bise;bisa
bismilah;bismillah
bismillah;bismillah
bismillahirrahmanirrahim;bismillah
bismillahtanparevisi;bismillah tanpa revisi
bispak;bisa pakai
biss;xyz
bit;xyz
bitte;xyz
bituh;butuh
bivitri;xyz
biyar;biar
biyen;dulu
bjir;anjir
bk;buka
bkal;bakal
bkan;bukan
bkerja;bekerja
bkh;xyz
bkl;bakal
bkn;bukan
bkpm;xyz
bl;xyz
bla;xyz
blabla;xyz
blablablabla;xyz
blame;menyalahkan
blang;bilang
blas;xyz
blg;bilang
blik;balik
bljar;belajar
bljr;belajar
blm;belum
bln;bulan
blng;bilang
blngko;blanko
block;blok
blom;belum
bloon;bodoh
blow;pukulan
blt;bantuan langsung tunai
blue;biru
blum;belum
bmg;xyz
bmm;xyz
bmn;xyz
bnafaskan;napas
bnayak;banyak
bner;benar
bnget;banget
bngett;banget
bngsa;bangsa
bngt;banget
bngung;bingung
bnr;benar
bnrkah;benarkah
bntar;bentar
bntk;bentuk
bntu;bantu
bny;banyak
bnyak;banyak
bnyk;banyak
bnyknya;banyaknya
bo;xyz
bob;xyz
bobo;tidur
bocil;bocah cilik
bocorkn;bocorkan
bod;xyz
bodo;bodoh
bodok;bodoh
bodoo;bodoh
bohongin;bohong
bojo;kekasih
bokap;ayah
bokepan;bokep
bokskuyy;xyz
bole;boleh
bolek;boleh
bomboclaat;bajingan
bonapit;bonafit
bongkarr;bongkar
bongo;xyz
book;buku
boom;bom
boomingny;ramai
boong;bohong
boosting;meningkatkan
borjuis;xyz
boro;jangankan
boroh;jangankan
bororh;jangankan
boskuh;bos
bosquh;bos
boss;bos
both;kedua
bottom;bawah
bought;membeli
bowheer;pemilik
bp;xyz
bphn;badan pembinaan hukum nasional
bpip;badan pembinaan ideologi pancasila
bpjph;badan penyelenggara jaminan produk halal
bpjs;badan penyelenggara jaminan sosial
bpk;bapak
bpn;badan pertahanan nasional
br;baru
brain;otak
brani;berani
brantakan;berantakan
brantakin;berantakan
brapa;berapa
brarti;berarti
bratkan;beratkan
brava;xyz
brave;berani
bravo;bagus
bray;saudara
brb;xyz
brbagai;berbagai
brbgai;berbagai
brbicara;berbicara
brdaulat;berdaulat
brdikari;berdikari
break;istirahat
breaking;pemecahan
bree;suadara
bregada;xyz
brengsek;berengsek
bretton;xyz
brgoyang;bergoyang
brhadapan;berhadapan
brharap;berharap
bri;bank rakyat indonesia
bringing;membawa
brita;berita
britahkan;berita
brkembang;berkembang
brkt;berikut
brkuasa;berkuasa
brmanfaat;bermanfaat
brmodal;bermodal
brok;xyz
broo;saudara
bros;xyz
brothers;saudara
brought;dibawa
brouu;xyz
brow;xyz
brp;berapa
brpa;berapa
brpengharapan;berpengharapan
brpihak;berpihak
brrti;berarti
brsama;bersama
brsatu;bersatu
brsedia;bersedia
brsikp;bersikap
brtemu;bertemu
bru;saudara
bs;bisa
bsa;bisa
bsar;besar
bsr;besar
bth;butuh
btl;betul
bts;batas
bu;ibu
buaanyak;banyak
buanyak;banyak
buatin;buat
buay;buai
bubarin;bubar
buburuh;buruh
bud;tapi
bude;ibu
budeg;budek
budhe;ibu
bueisma;Ibu risma
buk;ibu
bukaen;buka
bukain;buka
bukam;bungkam
bukamata;buka mata
bukane;buka
bukanny;buka
bukn;bukan
buktih;bukti
bullish;xyz
buluh;bulu
bulutangkis;bulu tangkis
bunch;banyak
bund;ibu
bunderan;bundaran
bundz;ibu
bunuhin;bunuh
bunz;ibu
burn;bakar
burning;pembakaran
burnout;habis terbakar
buruhairlangga;buruh airlangga
buruhbenny;buruh benny
buruhpmii;buruh pmii
buruhwakil;buruh wakil
bury;mengubur
buseng;buset
busett;buset
buslaw;omnibus law
buslow;omnibus law
but;tapi
butterfly;kupu kupu
buzer;buzzer
buzerp;buzzer rp
buzzernya;buzzer
buzzerp;buzzer rp
buzzerpemerintahtweet;buzzer pemerintah tweet
buzzerrp;buzzer rp
bwh;bawah
bwt;buat
by;selamat tinggal
bye;selamat tinggal
byee;selamat tinggal
byk;banyak
ca;bocah
cacad;cacat
cah;bocah
cak;bocah
cakep;tampan
call;panggilan
called;dipanggil
cam;kamera
came;datang
campaign;kampanye
can;xyz
cannon;canon
cape;lelah
capek;lelah
caper;cari perhatian
capital;kapital
capitalism;kapitalisme
captain;kapten
capture;menangkap
cards;kartu
care;peduli
careless;ceroboh
cares;kekuatiran
carimasa;cari masa
carrd;kartu
case;kasus
casenya;kasus
catapult;melontarkan
catatanhukumdiya;catatan hukum dia
catet;catat
caur;aneh
cause;sebab
cb;coba
cba;coba
cbalah;coba
ccunya;cucu
cebongers;cebong
cedak;dekat
cekel;pegang
celebrity;selebriti
cem;xyz
cendikiawan;cendekiawan
cengkraman;cengkeraman
center;pusat
central;pusat
ceoss;xyz
cepatki;cepat
cepet;cepat
ceritain;ceritakan
ceritane;cerita
cermani;xyz
certain;ceritakan
ceuk;kata
ceuli;telinga
ceunah;katanya
cew;cewek
cewe;cewek
ch;xyz
cha;xyz
chabul;cabul
chanel;saluran
change;perubahan
channel;saluran
chaos;kekacauan
chaosnya;kekacauan
chapter;bab
chck;cek
chechkkk;cek
check;cek
cheek;cek
chem;xyz
chenle;xyz
chicken;ayam
chill;dingin
chin;cina
china;cina
choice;pilihan
choose;memilih
chrp;xyz
ci;xyz
ciao;xyz
cidera;cedera
cik;xyz
cilaka;celaka
cilakanya;celaka
cilakatweet;celaka tweet
cilorconnoistr;xyz
cilup;celup
cip;cipta
cipa;cipta
cipata;cipta
cipatker;cipta kerja
cipker;cipta kerja
ciptakarya;cipta karya
ciptaker;cipta kerja
ciptakerja;cipta kerja
ciptakerja;cipta kerja
ciptakerjamanafaktamanadusta;cipta kerja mana fakta mana dusta
ciptakerjamanfaat;cipta kerja manfaat
ciptakerjatweet;cipta kerja tweet
ciptakerngabalin;cipta kerja ngabalin
ciptakerpolisi;cipta kerja polisi
ciptakertweet;cipta kerja tweet
ciptakervideo;cipta kerja video
ciptakerwajib;cipta kerja wajib
ciptalapangankerja;cipta lapangan kerja
ciptalerja;cipta kerja
ciptaning;cipta ning
cite;mengutip
citta;cita
civil;sipil
ciwi;cewek
ck;xyz
ckck;xyz
ckckck;xyz
ckckckck;xyz
ckckckcktweet;xyz
ckp;cukup
clarification;klasifikasi
clarified;diklarifikasi
clash;bentrokan
clashed;bentrok
clashes;bentrokan
class;kelas
claster;gugus
clear;bersih
clearly;jelas
cleric;ulama
click;klik
climate;iklim
closely;rapat
club;klub
clues;petunjuk
cman;cuman
cmiiw;koreksi aku jika aku salah
cmn;cuman
cnnindonesia;cnn indonesia
co;xyz
coach;pelatih
cobak;coba
cogan;cowok ganteng
coi;saudara
cokk;cok
cokongkrasi;xyz
cokro;xyz
collar;xyz
colle;xyz
collector;pengumpul
color;warna
com;xyz
come;datang
comeback;kembali
comen;komentar
coment;komentar
coming;kedatangan
commander;komandan
comment;komentar
commentary;komentar
community;komunitas
commuterline;xyz
company;perusahaan
compare;membandingkan
compared;dibandingkan
compassion;iba
con;xyz
concept;konsep
concern;perhatian
conclude;menyimpulkan
condition;kondisi
conducive;kondusif
conference;konferensi
confrence;konferensi
cong;xyz
connecting;menghubungkan
cons;xyz
considered;dipertimbangkan
constitutional;konstitusional
consultative;konsultatif
cont;contoh
contact;kontak
content;konten
context;konteks
conto;contoh
contohna;contoh
control;kontrol
controversial;kontroversial
controversy;kontroversi
converting;mengkonversi
cooked;matang
copmi;xyz
corna;corona
coronademi;corona pandemi
coronanya;corona
coronasyamsuar;corona syamsuar
coronavirus;corona virus
coronce;corona
corp;korporasi
corporate;perusahaan
corporation;korporasi
corps;kesatuan
corpus;korpus
correcto;mengoreksi
cost;biaya
could;bisa
counter;melawan
country;negara
court;pengadilan
covernya;cover
cowo;cowok
cowonya;cowok
coy;saudara
cpm;xyz
cpt;cepat
cr;cari
crash;jatuh
crate;xyz
crawling;merangkak
creactive;kreatif
created;dibuat
creates;menciptakan
creating;menciptakan
creation;penciptaan
creator;pencipta
crewmate;kru
cri;cari
cringe;ngeri
critic;pengkritik
criticize;mengkritik
crocodile;buaya
cross;xyz
cruel;kejam
cs;dan teman teman
csis;xyz
cttn;catatan
cuan;untung
cuannya;untung
cuap;bicara
cuddle;pelukan
cuiitan;cuitan
cuk;cok
cukomg;cukong
cumak;cuma
cumma;cuma
cuo;xyz
currently;saat ini
cursh;xyz
cut;memotong
cuy;saudara
cuz;xyz
cwe;cewek
cyberdemokrat;cyber demokrat
cycle;siklus
cyrus;xyz
da;xyz
daahhh;selamat tinggal
daan;xyz
dach;selamat tinggal
dad;ayah
dadak;dada
dadatang;datang
dadi;jadi
dadine;jadi
daei;xyz
daera;daerah
daerahfoto;daerah foto
daeun;xyz
daftarrr;daftar
dagel;melucu
dah;sudah
dahla;sudah
dahtweet;sudah tweet
daily;harian
dajjal;dajal
dak;anak
dakjal;dajal
dalangin;dalang
dalem;dalam
dam;dan
damaiaksi;damai aksi
damn;sial
dampake;dampak
dandim;xyz
dandrem;xyz
danger;bahaya
danki;xyz
dann;dan
danrem;xyz
dansat;xyz
danta;xyz
danusubroto;danu subroto
daon;daun
dapa;dapat
dapet;dapat
dapil;daerah pemilihan
dar;xyz
dariapada;daripada
darilaut;dari laut
darimana;dari mana
darisitu;dari situ
das;xyz
dasyat;dahsyat
datangangin;datang angin
date;tanggal
dateng;datang
datengin;datang
dates;tangal
datng;datang
day;hari
days;hari
dbahas;dibahas
dbantah;dibantah
dbbah;xyz
dbeginiin;begini
dbiarkan;biar
dbkin;bikin
dcari;cari
ddpan;depan
de;xyz
deadlockhmi;deadlock
dear;untuk
deberikan;beri
dech;deh
decline;menurun
dedek;adik
dee;xyz
deeh;deh
deep;dalam
deeptalk;pembicaraan yang dalam
definitive;definitif
deftweet;cekatan tweet
dei;tuhan
dejokowiisasi;jokowi
dek;adik
deket;dekat
deketin;dekat
dekne;dia
democracy;demokrasi
democratic;demokratis
demoin;demo
demokasi;demokrasi
demokratik;demokratis
demone;demo
demonstarasi;demonstrasi
demonstra;demonstran
demonstran;demonstran
demonstration;demonstrasi
demonstrator;demonstran
demonstrators;demonstran
demontran;demonstran
demontrasi;demonstrasi
demostran;demonstran
demostrasi;demonstrasi
demotolak;demo tolak
demotweet;demo tweet
demovideo;demo video
den;xyz
deng;xyz
denga;dengar
dengang;dengar
dengar;dengar
dengarin;dengar
dengen;dengan
denger;dengar
dengerin;dengar
dengerkan;dengar
dengernya;dengar
dengn;dengan
depeer;dewan perwakilan rakyat
depeerr;dewan perwakilan rakyat
depinas;dewan pimpinan nasional
depo;deposito
deputy;deputi
des;xyz
desain;desa
desauu;desau
design;desain
desk;meja tulis
deskriditkan;diskredit
dess;xyz
detikfinancedahlan;detik keuangan dahlan
detikmenaker;detik menteri ketanagakerjaan
detil;detail
dewanperwakilannya;dewan perwakilan
dewe;sendiri
dg;dengan
dger;dengar
dgn;dengan
dh;sudah
dhapus;dihapus
dhell;di neraka
dhoror;di horor
diajakin;ajak
diajarin;ajar
diakomodir;akomodir
diakuin;aku
diamankanpenjelasan;diamankan penjelasan
diapre;xyz
diapus;hapus
diargumentkan;argumen
diarhkan;arah
dibacaa;baca
dibagiin;bagi
dibagikandemokrat;bagi demokrat
dibales;balas
dibaliknyamengulik;balik mengulik
dibandingin;banding
dibanjarmasin;banjarmasin
dibanten;banten
dibatalin;batal
dibatalke;batal
dibatasin;batas
dibbrpa;beberapa
dibecandain;bercanda
dibedain;beda
dibegoin;bego
diberitakann;berita
dibersihiin;bersih
dibetulin;betul
dibhs;bahas
dibikatakan;kata
dibilangin;bilang
dibilanh;bilang
diblokirdemo;blokir demo
dibodohin;bodoh
dibriefing;di briefing
dibutuhin;butuh
dicantumin;cantum
dicariin;cari
diciderai;cedera
dicover;sampul
didalmnya;dalam
didapet;dapat
dideclare;menyatakan
didemolagi;demo lagi
didenga;dengar
didenger;dengar
didengerin;dengar
didiemin;diam
didpr;dewan perwakilan rakyat
didu;xyz
didukno;lihat
die;mati
diem;diam
diemin;diam
dienakin;enak
different;berbeda
digarisbawahi;garis bawah
digaungin;gaung
digebukin;gebuk
digee;xyz
digeruduk;geruduk
diginiin;dibeginikan
digrub;grup
dihadang;hadang
dihapusin;hapus
dihempskan;hempas
dihianati;khianat
dihilangkanintip;hilang intip
dihimbau;himbau
dihire;kerja
diinget;ingat
diipikir;pikir
diitung;hitung
dijadiin;jadi
dijakarta;jakarta
dijelasin;jelas
dijelaskannn;jelas
dijkt;jakarta
dijokiin;joki
dijokul;jual
dik;adik
dikadalin;bohong
dikambinghitamkan;kambing hitam
dikasitau;kasih tahu
dikat;ikat
dikatan;kata
dike;xyz
dikeluarin;keluar
dikerjain;kerja
dikibulin;kibul
dikirimin;kirim
dikiro;kira
dikit;sedikit
dikoentji;kunci
dikomenin;komentar
diksh;kasih
diksi;kasih
diku;xyz
dikumpulin;kumpul
dilaksanain;laksana
dilaksanak;laksana
dilaksanakn;laksana
dilakuiin;lakukan
dilakuin;lakukan
dilambungin;lambung
dilayanin;layan
dilibatkanmasuk;dilibatkan masuk
diluriskan;diluruskan
dilurusin;diluruskan
dim;xyz
dimaksutkan;dimaksudkan
dimanfaatin;dimanfaatkan
dimasukin;masuk
dimatiin;mati
dimedsos;media sosial
dimentahin;mentah
dimintain;minta
dimn;dimana
dimna;dimana
dimobilisir;mobilisasi
dimusih;musuh
dimusyawarahin;musyawarah
din;xyz
dina;hari
ding;xyz
dinicarakan;bicara
dinilia;nilai
dinyinyirin;nyinyir
diobah;ubah
diobatin;obat
diobong;bakar
diobrak;obrak
diomelin;omel
diomongin;omong
dipaido;xyz
dipake;pakai
dipaksakanpakar;dipaksakan pakar
dipanasin;panas
dipekanbaru;pekanbaru
diperbaikin;diperbaikan 
diperbicangan;diperbincangkan
diperhantikan;diperhatikan
dipertanggungjawabkan;tanggung jawab
dipertbangkan;dipertimbangkan
dipertimbangin;dipertimbangkan
diphami;paham
dipikirin;pikir
dipimpinoleh;pimpin oleh
dipindanakan;pindah
diplintir;pelintir
diposting;post
dipostingan;post
dipropokator;provokator
dipublish;menerbitkan
dipukulin;pukul
dir;diri
diraguin;ragu
dirapigkan;rapi
dirapihkan;rapi
dirawataksi;rawat aksi
direcokin;recok
director;direktur
diresmiin;resmi
direspon;respons
direview;review
direvisilagi;revisi lagi
diributin;ribut
diriya;diri
dirmh;rumah
dirobah;ubah
dirugikn;rugi
dirusakin;rusak
dis;xyz
disabotage;sabotase
disagreed;tidak setuju
disahin;sah
disahinn;sah
disahkanlagi;sah lagi
disahkannnya;sah
disahkanny;sah
disahkansuarakan;sah suara
disahkantweet;sah tweet
disahkanya;sah
disahke;sah
disahkn;sah
disahne;sah
disahno;sah
disakmat;skakmat
disalahartikan;salah arti
disalahgunakan;salah guna
disalahin;salah
disamain;sama
disandingin;sanding
disband;bubar
discuss;diskusi
discussion;diskusi
disdikbud;dinas pendidikan dan kebudayaan
disebarluaskan;sebar luas
disejahterain;sejahtera
diselamatin;selamat
diseleseikan;selesai
disemangatin;semangat
disesbabkan;sebab
disetiapharinya;setiap hari
disgust;diskusi
dishare;bagikan
dishub;dinas perhubungan
disiapin;siap
disiapkn;siap
disidangin;sidang
disinformasi;informasi
diskasi;diskusi
diskredit;kredit
diskursus;kursus
diskus;diskusi
diskushareeps;diskusi bagikan
disnaker;dinas tenaga kerja
disodorin;sodor
disosialiaasikan;sosial
disosmed;sosial media
display;layar
disurabaya;surabaya
ditahanvideo;tahan video
ditakoni;tanya
ditakutin;takut
ditandatangan;tanda tangan
ditandatangani;tanda tangan
ditanggepin;tanggap
ditangkappembuat;tangkap pembuat
ditangkep;tangkap
ditangkepin;tangkap
ditanyain;tanya
ditektur;direktur
ditemuin;temu
ditenga;tengah
diterbitin;terbit
diteriakin;teriak
ditetapkanya;tetap
ditindaklanjuti;tindak lanjut
ditjen;direktorat jenderal
ditmbah;tambah
ditolongin;tolong
ditrendingin;trending
dittd;tanda tangan
ditugasin;tugas
ditunggani;tunggang
ditv;tv
diubahtweet;ubah tweet
diulangjansen;ulang jansen
diupload;unggah
diutak;utak
divacatrii;xyz
diwilkum;wilayah hukum
diwoco;baca
diy;xyz
djaman;zaman
djember;jember
dkantongin;kantong
dkategorikan;kategori
dketik;ketik
dketok;ketok
dkg;dukung
dki;daerah kota istimewa
dkirim;kirim
dkk;dan kawan kawan
dl;dulu
dlaam;dalam
dliatin;lihat
dllnya;dan lain lain
dlm;dalam
dlmm;dalam
dlmnya;dalam
dlu;dulu
dm;pesan langsung
dmn;di mana
dmna;di mana
dmsalahkn;masalah
dn;xyz
dng;dengan
dngan;dengan
dngn;dengan
do;xyz
doain;doa
