no,user_account,label,tweet,clean
21,@Papuakuindo,1,"Gading: RUU Cipta Kerja membuka peluang investasi besar dan bakal menciptakan pekerjaan yang seluas-luasnya bagi masyarakat

Gading Marten
Artis dan Presenter",gading rancang undang undang cipta kerja buka peluang investasi cipta kerja luas luas masyarakat gading marten artis presenter
22,@mahasiswakpu2,1,Ada yang punya draft ruu cipta kerja yang 812 halaman kah? Please butuh bgt buat skripsi,draf rancang undang undang cipta kerja halaman tolong butuh banget skripsi
23,@jalanin_yuk,0,"Hari ini mahasiswa berkumpul dan meneruskan aksi tolak RUU Cipta Kerja.

adik2..terimakasih ya.
Saya titip aspirasi saya,semoga ada hasilnya dan please tetep pake masker.

oiya satu lagi,pastikan kalian sudah baca draft RUU nya,jangan demo doang tanpa baca",mahasiswa kumpul terus aksi tolak rancang undang undang cipta kerja terima kasih ya titip aspirasi moga hasil tolong pakai masker oh iya pasti baca draf rancang undang undang demo doang baca
24,@arifinpribadi,1,"ITU UU Cipta Kerja udah Di Istana selama 3 Presiden , Dan orang banyak bilang terburu 2 DLL , nggak mikir 18 tahun cm JD RUU krn takut nggak populis . 
@jokowi
 bisa diukur  kekerasan tekad Beliau membuat rakyat sejahtera  Saya salut lho. 
@Cyber_PDIP
 @PDI_Perjuangan",undang undang cipta kerja istana presiden orang bilang buru dll pikir tahi cm rancang undang undang takut rakyat ukur keras tekad beliau rakyat sejahtera salut
25,@ummu_at,0,"Sudah jatuh, tertimpa tangga pula. Begitulah nasib perempuan saat ini. RUU Cipta Kerja yang dikebut pada 5/10/2020 ini dinilai merugikan kalangan buruh termasuk perempuan. 

Selengkapnya, simak di video ya...
https://youtu.be/XSGL7XXhx6A

#OmnibusLawSengsarakanPerempuanTak Ada Hati! Perbudakan Legal Oleh Negara, Perempuan Lagi-lagi Jadi...
Sudah jatuh, tertimpa tangga pula. Begitulah nasib perempuan saat ini. RUU Cipta Kerja yang dikebut pada 5/10/2020 ini dinilai merugikan kalangan buruh terma...
youtube.com",jatuh timpa tangga nasib perempuan rancang undang undang cipta kerja kebut nilai rugi kalang buruh perempuan lengkap simak video ya
26,@jelita4you,0,"Ketua DPR : Draft RUU Cipta kerja hanya di Cek Acak , Bank Dunia memujinya..?Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak bank dunia puji ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank kesah undang undang cipta kerja minggu rapat larut malam pekan sah rancang undang undang celaka pimpin dewan wakil rakyat men
27,@DinataQ,0,"Adakah pendapat lain? 
Comment di bawah
-
RUU CIPTA KERJA : http://dpr.go.id/.../BALEG-RJ-20200605-100224-2372.pdf…",ada dapat komentar rancang undang undang cipta kerja
28,@Dewisulastini1,0,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMC

https://youtu.be/DZmnBOZptuA

Jangan lupa share seluas-luasnya Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank puji serba serbi mmc
29,@PalembangLpka,1,"10. Presiden 
@jokowi
 menugaskan menteri 
@PerekonomianRI
 @Kemenkumham_RI
 @KemenkeuRI
 @KemnakerRI
 @kemendagri
 @KementerianLHK
 @atr_bpn
 @KementerianESDM
 @KemenkopUKM
 @KemenPU
 @kementan
 mewakili presiden dalam pembahasan RUU Cipta Kerja di DPR

#KumhamPasti
#OmnibusLawTaatProsedural",presiden tugas menteri wakil presiden bahas rancang undang undang cipta kerja dewan wakil rakyat
30,@PalembangLpka,1,"9. Surat tersebut ditindaklanjuti Menko 
@PerekonomianRI
 bersama menteri terkait dengan menyampaikan surat presiden, naskah RUU Cipta Kerja, serta naskah akademik yg menyertainya kepada Ketua dan Wakil Ketua 
@DPR_RI
 tanggal 12 Februari 2020

#KumhamPasti
#OmnibusLawTaatProsedural",surat tindak menteri koordinator menteri kait surat presiden naskah rancang undang undang cipta kerja naskah akademik serta ketua wakil ketua tanggal februari
31,@PalembangLpka,1,"8. Presiden 
@jokowi
 melalui surat nomor: R-06/Pres/02/2020 tanggal 7 Februari 2020 menyampaikan secara resmi RUU Cipta Kerja kepada Ketua 
@DPR_RI
 untuk dibahas dalam sidang DPR guna mendapatkan persetujuan dengan prioritas utama

#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22",presiden surat nomor r pres tanggal februari resmi rancang undang undang cipta kerja ketua bahas sidang dewan wakil rakyat tuju prioritas utama
32,@PalembangLpka,1,"7. Pada 27 Januari 2020, Menteri 
@PerekonomianRI
 menyampaikan draft RUU Cipta Lapangan Kerja dan naskah akademik yang menyertainya kepada presiden 
@jokowi
 melalui surat nomor: PH.2.1-15/M.EKON/01/2020

#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22",januari menteri draf rancang undang undang cipta lapang kerja naskah akademik serta presiden surat nomor ph m ekon
33,@PalembangLpka,1,"5. Sejak masih berbentuk rancangan kebijakan, RUU Cipta Kerja sudah disampaikan dan disuarakan ke media baik cetak dan elektronik

#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22",bentuk rancang bijak rancang undang undang cipta kerja suara media cetak elektronik
34,@PalembangLpka,1,"4. Kemenkumham melakukan pengharmonisasian substansi dan legal drafting RUU Cipta Kerja dengan dikeluarkannya surat selesai harmonisasi dari Menkumham nomor: PHN-HN.0204-04 tgl 20 Januari 2020 dan nomor: PPE.PP.03.02-107 tgl 20 Januari 2020

#KumhamPasti
#OmnibusLawTaatProsedural",kemenkumham harmonisasi substansi legal draf rancang undang undang cipta kerja keluar surat selesai harmonisasi menteri hukum hak asasi manusia nomor phn halaman tanggal januari nomor ppe pp tanggal januari
35,@PalembangLpka,1,"2. Secara resmi, Menteri 
@PerekonomianRI
 telah menetapkan Panitia Antar Kementerian dan/atau Antar NonKementerian dalam Penyusunan RUU tentang Cipta Lapangan Kerja pada tanggal 23 Oktober 2019 yang dipimpin oleh Sekretaris Menko

#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22",resmi menteri tetap panitia menteri nonkementerian susun rancang undang undang cipta lapang kerja tanggal oktober pimpin sekretaris menteri koordinator
36,@PalembangLpka,1,"#SahabatPengayoman, sekarang lagi rame nih ya bahas Penyusunan RUU Cipta Kerja. Kalian tau ngga, kalo penyusunan RUU ini telah melalui proses yang panjang lho. Coba disimak thread Yomin ini ya

#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22",ramai ya bahas susun rancang undang undang cipta kerja susun rancang undang undang proses coba simak utas yomin ya
37,@Ndptr21,0,"Tolak RUU Omnibus Law Cipta Lapangan Kerja. #MosiTidakPercaya - Tandatangani Petisi! http://chng.it/pcHj2wsC lewat 
@ChangeOrg_IDTandatangani Petisi
Tolak RUU Omnibus Law Cipta Lapangan Kerja
change.org",tolak rancang undang undang omnibus law cipta lapang kerja tanda tangan petisi
38,@Tisha18506853,0,"Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!!Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",kesah undang undang cipta kerja minggu rapat larut malam pekan sah rancang undang undang celaka pimpin dewan wakil rakyat aku ecek acak draf final undang undang cipta kerja astagfirullah ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank kesah undang undang cipta kerja minggu rapat larut malam pekan sah rancang undang undang celaka pimpin dewan wakil rakyat men
39,@PolsekTeluk,1,"Video himbauan Bpk. MUHAMMAD DOHAR NASUTION Tokoh Masyarakat Desa Makmur Kec. Teluk Mengkudu kepada semua elemen masyarakat dalam rangka tangkal hoax RUU Cipta Kerja.
#IndonesiaDamai
#IndonesiaMaju",video himbau muhammad nasution tokoh masyarakat desa makmur camat teluk mengkudu elemen masyarakat rangka tangkal hoax rancang undang undang cipta kerja
40,@Masyita08912111,0,"Keywords: RUU Cipta Kerja

Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka,  ternyata pimpinan DPR mengaku bahwa dia selama ini  mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!! Tonton fakta  dalam video serba-serbi pagi ini di channel YouTube MMC",keywords rancang undang undang cipta kerja rapat larut malam pekan sah rancang undang undang celaka pimpin dewan wakil rakyat aku ecek acak draf final undang undang cipta kerja astagfirullah tonton fakta video serba serbi pagi salur youtube mmc
41,@meinab_,0,"Ditengah sulitnya masa Covid-19 ini memang berbahaya sekali karena menimbulkan kematian, tapi yang lebih mematikan adalah jika RUU Cipta Kerja disahkan ditengah para fresh graduate khususnya generasi mendatang dan para buruh. 

#Etika4D #AkuntansiPolinema 
@AriKamayanti",tengah sulit covid bahaya timbul mati mati rancang undang undang cipta kerja sah tengah fresh graduate generasi buruh
42,@Kemenkumham_Gto,1,"12. Menteri 
@PerekonomianRI
 menetapkan Tim Koordinasi Pembahasan dan Konsultasi Publik Substansi Ketenagakerjaan RUU tentang Cipta Kerja pada 7 Februari 2020 yang dipimpin oleh Sekretaris 
@PerekonomianRI
 dan wakil oleh Sekjen 
@KemnakerRI
#KumhamPasti
#OmnibusLawTaatProsedural",menteri tetap tim koordinasi bahas konsultasi publik substansi ketenagakerjaan rancang undang undang cipta kerja februari pimpin sekretaris wakil sekjen
43,@Kemenkumham_Gto,1,"11. Badan Legislasi (Baleg) 
@DPR_RI
 dan Pemerintah melakukan rapat perdana untuk membahas RUU Cipta Kerja pada tanggal 14 April 2020. Dalam rapat tersebut, Panitia Kerja (Panja) RUU Cipta Kerja resmi dibentuk

#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22",badan legislasi baleg perintah rapat perdana bahas rancang undang undang cipta kerja tanggal april rapat panitia kerja panitia kerja rancang undang undang cipta kerja resmi bentuk
44,@meinab_,0,"Omnimbus Law itu etis atau tidak ya? 
 

Menurut Pendapat kelompok kami mengenai disahkannya RUU Cipta Kerja sangatlah tidak etis, yang paling meresahkan adalah tentang ""Aturan masuknya tenaga kerja asing yang dilonggarkan"".

#Etika4D #AkuntansiPolinema 
@AriKamayanti",omnibus law law etis ya dapat kelompok sah rancang undang undang cipta kerja etis resah atur masuk tenaga kerja asing longgar
45,@zhazziyah,0,"Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!! Tonton faktanya di channel YouTube MMC
#OmnibusLawSengsarakanPerempuan",rapat larut malam pekan sah rancang undang undang celaka pimpin dewan wakil rakyat aku ecek acak draf final undang undang cipta kerja astagfirullah tonton fakta salur youtube mmc
46,@MelaDewiSuryan1,0,"Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!! Tonton fakta selengkapnya dalam video serba-serbi pagi ini di channel YouTube MMC",rapat larut malam pekan sah rancang undang undang celaka pimpin dewan wakil rakyat aku ecek acak draf final undang undang cipta kerja astagfirullah tonton fakta lengkap video serba serbi pagi salur youtube mmc
47,@SweetMacarons2,0,"Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!! Tonton di channel YouTube MMC",rapat larut malam pekan sah rancang undang undang celaka pimpin dewan wakil rakyat aku ecek acak draf final undang undang cipta kerja astagfirullah tonton salur youtube mmc
48,@PSHKIndonesia,0,"Op-ed: Apabila kita tidak ingin mengulangi proses buruk  yg terjadi pada UU Cipta Kerja, kita harus meninjau ulang penggunaan metode ini. Apalagi masih ada tiga RUU yg akan menggunakan metode omnibus

Simak opini peneliti kami, Nabila via 
@ConversationIDNSelain Cipta Kerja, ada tiga omnibus law lain yang menunggu disahkan. Apa layak diteruskan?
Penggunaan metode _omnibus law_ dalam perundang-undangmemiliki banyak masalah, harus ditinjau ulang.
theconversation.com",op ulang proses buruk undang undang cipta kerja tinjau ulang guna metode rancang undang undang metode omnibus simak opini teliti nabila cipta kerja omnibus law tunggu sah layak terus guna metode omnibus law undang undang milik tinjau ulang
49,@Mahadewi68,1,"JKP tertuang dalam pasal selipan pasal baru, yakni Pasal 46A RUU Cipta Kerja. Bagian dari omnibus law ini merevisi UU No 40 Th 2004 tentang SJSN. Pekerja/buruh yg mengalami PHK berhak mendapatkan JKP melalui BPJS Ketenagakerjaan.
OmnibusLaw Mantul Beut
#CiptaKerjaDemiRakyat
4",jamin hilang kerja tuang pasal selip pasal pasal rancang undang undang cipta kerja omnibus law revisi undang undang sistem jamin sosial nasional kerja buruh alami phk hak jamin hilang kerja badan selenggara jamin sosial ketenagakerjaan omnibus law mantap banget
50,@esgula_batu,0,"Membalas 
@AdriSanMiguel
 @BetaKopites_
 dan 
@LFCAnda pendukung pemerintah ya kerja kerja kerja terus, Tolak RUU Cipta Kerja mas Adrian!!!",balas dukung perintah ya kerja kerja kerja tolak rancang undang undang cipta kerja mas adrian
51,@UmmuHAURA7,0,"RUU Cipta Kerja
Draf RUU Cipta Kerja

Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!! Tonton fakta selengkapnya dalam video mmc",rancang undang undang cipta kerja draf rancang undang undang cipta kerja rapat larut malam pekan sah rancang undang undang celaka pimpin dewan wakil rakyat aku ecek acak draf final undang undang cipta kerja astagfirullah tonton fakta lengkap video mmc
52,@Evanescentbby,1,"Kebijakan Satu Peta RUU Cipta Kerja Juga mengatur dan menetapkan kebijakan satu peta (one map policy). Kebijakan dituangkan dalam Rencana Tata Ruang Wilayah (RTRW).darat,laut pesisir pulau-pulau kecil,serta tata ruang kawasan terutama hutan akan terintegrasi
#CiptaKerjaDemiRakyat",bijak peta rancang undang undang cipta kerja atur tetap bijak peta one map polisi bijak tuang rencana tata ruang wilayah rencana tata ruang wilayah darat laut pesisir pulau pulau tata ruang kawasan hutan integrasi
53,@ComelKatamu,1,"Lahirnya RUU Cipta Kerja, menurut Sri Mulyani, dilihat oleh lembaga-lembaga tersebut merupakan sebuah inovasi dari pemerintah untuk menarik investasi demi pembangunan ekonomi jangka panjang.
https://m.bisnis.com/amp/read/20201019/9/1306762/uu-cipta-kerja-dipuji-oleh-lembaga-asing-ini-respons-sri-mulyani…
OmnibusLaw Mantul Beut
#CiptaKerjaDemiRakyat",lahir rancang undang undang cipta kerja sri mulyani lembaga lembaga inovasi perintah tarik investasi bangun ekonomi jangka
54,@AndinyZein,1,"Menteri Keuangan Sri Mulyani Indrawati menyatakan pengesahan Rancangan Undang-Undang (RUU) Cipta Kerja disambut positif oleh sejumlah lembaga internasional.
OmnibusLaw Mantul Beut
#CiptaKerjaDemiRakyat
https://m.bisnis.com/amp/read/20201019/9/1306762/uu-cipta-kerja-dipuji-oleh-lembaga-asing-ini-respons-sri-mulyani…",menteri uang sri mulyani indrawati kesah rancang undang undang rancang undang undang cipta kerja sambut positif lembaga internasional omnibus law mantap banget
55,@Aisyahtalitha1,0,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMC

Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini..Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank puji serba serbi mmc kesah undang undang cipta kerja minggu rapat larut malam pekan sah rancang undang undang celaka ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank kesah undang undang cipta kerja minggu rapat larut malam pekan sah rancang undang undang celaka pimpin dewan wakil rakyat men
56,@LestariSarmi,0,"Published on Oct 20, 2020
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!!",terbit on oct kesah undang undang cipta kerja minggu rapat larut malam pekan sah rancang undang undang celaka pimpin dewan wakil rakyat aku ecek acak draf final undang undang cipta kerja astagfirullah
57,@rakyatmedia77,0,"BEM SI Kembali Berunjuk Rasa di Jakarta Tolak RUU Cipta Kerja - Rakyat MediaBEM SI Kembali Berunjuk Rasa di Jakarta Tolak RUU Cipta Kerja - Rakyat Media
JAKARTA, RAKYATMEDIA.COM-Badan Eksekutif Mahasiswa Seluruh Indonesia (BEM SI) kembali berunjuk rasa menentang RUU Cipta Kerja, pada hari ini, Selasa 20 Oktober 2020. Koordinator BEM SI, Remy Hastian...
rakyatmedia.com",bem si unjuk jakarta tolak rancang undang undang cipta kerja rakyat media bem si unjuk jakarta tolak rancang undang undang cipta kerja rakyat media jakarta rakyat media badan eksekutif mahasiswa indonesia bem si unjuk tentang rancang undang undang cipta kerja selasa oktober koordinator bem si remy hastian
